ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1130	33,24,19,22	22,16,20,18	28,23,28,28	15,8,6,12	298	149	0.00827087230274193	0.306166517841223	0.429,0.429,0.322,0.379	0.483,0.59,0.7,0.538	-0.188
1136	7,1,5,9	0,0,0,0	7,7,12,6	1,0,0,0	220	149	0.20957977551977	0.639830648747787	1.0,1.0,1.0,1.0	0.826,1.0,1.0,1.0	0.043
1137	19,20,10,12	72,79,117,81	16,23,16,24	96,85,74,95	298	149	0.281423155214181	0.711653622637504	0.117,0.112,0.041,0.069	0.077,0.119,0.098,0.112	-0.017
1139	49,31,37,29	2,0,0,1	34,36,37,38	1,0,2,1	298	149	0.999202115572178	0.999202115572178	0.925,1.0,1.0,0.935	0.944,1.0,0.902,0.95	0.016
1142	41,33,15,15	226,216,206,227	9,13,12,12	270,194,214,211	298	149	0.00502060990873188	0.278229070046773	0.083,0.071,0.035,0.032	0.016,0.032,0.027,0.028	0.03
1143	47,41,25,22	21,14,13,21	16,22,17,20	13,13,15,17	298	149	0.133887242895042	0.56068675372824	0.528,0.594,0.49,0.344	0.381,0.458,0.362,0.37	0.096
1146	79,62,70,60	27,17,26,27	75,77,105,127	22,11,10,27	298	149	0.0192697481989059	0.335241589994659	0.594,0.646,0.574,0.526	0.63,0.778,0.84,0.702	-0.152
1148	28,30,17,24	3,4,2,3	34,34,42,43	0,5,1,1	298	149	0.0482313242485092	0.434570616068502	0.824,0.789,0.81,0.8	1.0,0.773,0.955,0.956	-0.115
1149	29,35,21,30	1,0,1,1	40,41,39,43	0,0,0,0	298	149	0.0107347333237939	0.307490574748422	0.935,1.0,0.913,0.938	1.0,1.0,1.0,1.0	-0.054
1150	45,43,26,31	78,89,80,98	52,40,46,50	100,77,76,78	238	149	0.0213210065758543	0.33846376786861	0.265,0.232,0.169,0.165	0.246,0.245,0.275,0.286	-0.055
1151	3,7,2,4	14,10,8,8	9,7,8,5	13,17,11,15	298	149	0.356396177377004	0.748581285461563	0.097,0.259,0.111,0.2	0.257,0.171,0.267,0.143	-0.043
1158	62,65,31,59	13,15,17,25	78,37,60,52	11,8,18,24	298	149	0.300356019678428	0.7185563140721	0.705,0.684,0.477,0.541	0.78,0.698,0.625,0.52	-0.054
1159	78,67,61,68	0,1,2,1	78,50,63,62	0,0,2,0	298	149	0.444067897916685	0.795854343206026	1.0,0.971,0.938,0.971	1.0,1.0,0.94,1.0	-0.015
1160	82,50,41,45	9,6,8,11	52,49,51,45	10,11,18,12	298	149	0.0396376328374972	0.410928317540892	0.82,0.806,0.719,0.672	0.722,0.69,0.586,0.652	0.092
1162	2,2,0,1	0,0,3,1	9,1,1,2	1,0,0,2	249	149	0.999202115572178	0.999202115572178	1.0,1.0,0.0,0.374	0.843,1.0,1.0,0.374	-0.211
1163	261,272,194,189	21,18,14,12	286,247,257,273	26,11,20,23	244	149	0.703022921582949	0.951692020172266	0.884,0.902,0.894,0.906	0.87,0.932,0.887,0.879	0.005
1164	298,304,234,212	22,16,9,16	328,317,330,307	25,13,17,19	298	149	0.822787008508581	0.999202115572178	0.871,0.905,0.929,0.869	0.868,0.924,0.907,0.89	-0.004
1165	142,92,93,63	0,2,1,2	123,99,98,111	5,3,4,3	298	149	0.0212631942937074	0.33846376786861	1.0,0.958,0.979,0.94	0.925,0.943,0.925,0.949	0.034
1166	147,93,95,68	0,0,0,0	126,101,99,116	0,1,0,4	298	149	0.0284092095171936	0.371134601916601	1.0,1.0,1.0,1.0	1.0,0.981,1.0,0.935	0.021
1167	185,187,111,111	30,36,16,14	153,142,117,167	28,22,26,20	298	149	0.929711612014308	0.999202115572178	0.755,0.722,0.776,0.799	0.732,0.763,0.692,0.807	0.014
1168	145,150,86,99	17,8,8,5	128,118,94,145	16,12,19,20	298	149	0.014407104485044	0.312271508740395	0.81,0.904,0.843,0.908	0.8,0.831,0.712,0.784	0.085
1169	3,1,2,3	4,0,3,2	1,1,2,0	3,0,1,6	250	149	0.483038440032825	0.825869350256674	0.309,1.0,0.284,0.472	0.166,1.0,0.544,0.0	0.089
1170	3,1,2,3	0,2,1,0	1,1,2,0	2,0,0,3	255	149	0.609086131995511	0.897583554814034	1.0,0.226,0.539,1.0	0.226,1.0,1.0,0.0	0.135
1172	7,0,0,2	0,1,0,0	1,8,4,1	1,0,0,0	298	149	0.999202115572178	0.999202115572178	1.0,0.0,NA,1.0	0.333,1.0,1.0,1.0	-0.167
1173	6,0,1,0	0,0,0,2	0,3,6,1	0,4,0,0	239	149	0.0335374729057778	0.399090795339439	1.0,NA,1.0,0.0	NA,0.319,1.0,1.0	-0.106
1178	1,0,0,0	0,0,0,0	0,0,0,0	0,0,1,0	286	149	NA	NA	1.0,NA,NA,NA	NA,NA,0.0,NA	1.0
1180	2,0,0,1	0,0,0,1	2,3,3,1	0,0,0,0	298	149	0.271859693753132	0.704156406096941	1.0,NA,NA,0.333	1.0,1.0,1.0,1.0	-0.334
1181	18,40,43,32	1,19,8,15	45,28,35,34	6,4,3,7	298	149	0.163621260259747	0.597861069387846	0.9,0.513,0.729,0.516	0.789,0.778,0.854,0.708	-0.118
1183	0,0,2,0	1,0,1,0	1,1,1,1	0,0,0,0	298	149	0.108185818046815	0.533986684797914	0.0,NA,0.5,NA	1.0,1.0,1.0,1.0	-0.75
1191	39,40,26,23	3,4,0,2	34,34,22,29	4,2,2,1	252	149	0.999202115572178	0.999202115572178	0.885,0.855,1.0,0.872	0.834,0.91,0.867,0.945	0.014
1194	2,5,6,2	4,5,1,4	4,5,6,9	3,0,1,2	298	149	0.0223042839754253	0.346969451280633	0.2,0.333,0.75,0.2	0.4,1.0,0.75,0.692	-0.34
1199	280,279,250,228	10,5,4,6	232,241,194,194	4,4,4,8	237	149	0.913129827909987	0.999202115572178	0.946,0.972,0.975,0.96	0.973,0.974,0.968,0.938	0.0
1200	25,33,20,28	17,19,16,18	26,22,36,28	11,22,15,24	298	149	0.842788791687569	0.999202115572178	0.424,0.465,0.385,0.437	0.542,0.333,0.545,0.368	-0.019
