IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,2,1,5	0,0,0,1	4,0,0,0	0,3,0,0	78	39
42,52,40,52	1,1,0,0	42,24,37,36	0,0,0,0	78	39
1,0,0,0	4,0,0,1	0,0,0,0	0,0,2,1	78	39
4,21,8,11	6,9,11,16	10,13,6,6	5,5,10,9	78	39
61,54,46,53	4,1,0,10	75,54,72,57	8,4,11,2	78	39
47,62,75,59	2,3,1,4	57,48,44,77	5,1,6,2	78	39
39,33,53,29	14,7,9,12	22,31,21,23	8,7,8,8	78	39
6,4,14,4	7,8,4,15	0,0,2,1	12,9,13,20	78	39
17,27,33,18	3,3,2,3	34,34,25,36	10,3,7,2	76	39
16,25,25,17	3,1,0,2	12,16,12,26	1,5,1,0	71	39
18,21,15,20	0,2,0,0	19,18,7,25	0,0,0,0	78	39
18,17,21,22	3,2,6,6	22,19,7,26	4,4,4,0	78	39
21,5,22,15	0,0,3,1	10,7,11,14	0,0,1,2	78	39
22,17,25,18	5,2,1,1	21,10,10,18	3,1,0,2	78	39
21,19,16,21	3,2,6,6	22,18,6,26	4,4,4,0	78	39
24,7,17,14	0,0,3,1	10,6,10,14	0,0,1,2	78	39
22,7,22,19	0,0,3,1	11,9,14,12	0,0,1,2	78	39
293,266,271,257	1,0,0,0	233,229,214,234	0,0,0,0	78	39
87,77,81,86	4,3,2,9	65,53,75,77	3,3,2,4	60	39
5,1,5,4	35,58,41,48	0,1,0,1	42,38,36,44	78	39
5,7,3,10	46,50,35,36	1,0,1,2	44,40,37,44	78	39
32,36,26,35	180,184,119,123	49,28,30,35	187,151,169,192	51	39
2,9,2,1	3,1,1,2	2,1,1,0	0,1,0,1	78	39
765,665,672,662	4,5,2,1	770,563,704,649	3,2,2,3	78	39
5,1,10,3	6,0,0,0	0,1,1,9	0,0,0,0	78	39
6,2,8,3	0,1,0,0	4,4,7,4	0,0,1,0	78	39
0,0,0,0	1,0,0,1	4,0,0,0	3,4,0,0	78	39
0,0,1,5	17,5,13,12	2,1,5,0	12,17,18,17	74	39
6,8,5,12	22,27,13,21	11,4,9,4	23,30,23,33	78	39
22,14,11,13	1,2,2,3	10,8,13,13	0,3,1,3	78	39
10,14,3,5	13,6,11,15	9,7,5,4	14,4,11,9	78	39
0,0,1,1	12,12,11,2	0,0,0,0	9,8,12,12	74	39
0,0,0,0	0,0,0,1	0,0,4,1	0,0,1,1	78	39
0,0,1,0	1,1,0,1	0,0,0,0	0,0,1,0	54	39
0,0,0,0	2,0,1,0	2,0,0,0	0,0,0,0	78	39
21,21,26,19	1,3,2,2	18,28,8,15	0,2,5,2	58	39
80,82,81,71	22,14,7,17	77,83,56,68	24,12,22,24	58	39
90,57,70,62	5,2,6,3	64,81,44,63	5,11,8,4	47	39
94,61,74,68	11,3,13,10	70,83,50,71	13,4,4,2	60	39
9,6,10,9	11,3,13,10	11,13,14,12	13,4,4,2	52	39
5,8,3,7	157,132,126,157	6,3,8,9	121,127,141,129	78	39
19,13,9,18	193,180,175,206	9,13,6,11	178,193,187,192	78	39
0,2,0,0	1,6,0,4	0,0,0,0	2,1,2,0	54	39
0,2,0,0	0,0,2,0	0,0,0,0	2,0,0,0	78	39
1,6,0,4	0,0,2,0	2,1,2,0	2,0,0,0	68	39
1,0,0,0	17,18,19,10	1,0,0,0	24,12,26,18	55	39
0,0,0,2	1,1,0,1	0,0,0,0	0,0,1,1	78	39
25,46,39,41	5,8,9,8	24,22,31,20	4,7,6,2	66	39
13,20,9,13	1,5,4,1	10,2,9,4	2,1,1,3	66	39
9,14,8,12	0,2,0,0	10,2,8,3	0,1,0,0	66	39
0,0,1,0	0,0,2,0	0,0,0,0	1,1,1,4	78	39
74,40,44,41	29,34,34,50	66,43,57,72	43,44,33,38	69	39
1,1,0,0	156,128,130,135	0,0,0,1	127,97,123,122	78	39
0,2,0,3	8,2,11,6	0,0,0,1	3,2,4,5	78	39
12,12,16,12	238,227,233,228	7,17,6,9	243,254,230,267	78	39
5,2,4,6	3,3,1,1	3,1,4,6	5,4,4,2	78	39
24,17,21,9	3,3,1,1	23,25,20,33	5,4,4,2	78	39
21,17,19,5	2,0,0,2	20,25,17,29	0,0,0,0	78	39
10,1,12,1	19,21,11,14	11,7,12,12	22,20,20,26	73	39
0,0,0,0	2,0,0,0	0,0,1,1	0,0,0,1	78	39
2,4,2,3	12,15,25,17	5,1,3,2	18,14,13,18	78	39
0,2,2,3	12,15,25,17	1,1,2,6	18,14,13,18	78	39
0,0,0,3	2,2,0,2	0,1,1,4	4,1,2,0	78	39
1,0,3,0	6,0,4,3	0,0,3,0	2,0,3,0	78	39
0,3,0,0	1,0,0,0	0,0,3,1	0,0,0,0	43	39
0,3,1,2	26,24,7,22	2,1,0,0	13,9,19,14	78	39
32,39,32,42	4,6,0,3	45,39,47,56	3,3,4,9	78	39
15,15,20,12	3,1,0,3	26,15,12,14	2,1,3,2	44	39
11,10,14,6	7,14,7,10	14,6,14,16	5,14,12,12	45	39
2,6,4,4	0,0,0,1	10,5,5,5	0,0,0,0	78	39
1,2,0,1	22,12,8,14	3,0,2,0	12,12,8,16	43	39
9,9,17,12	3,3,1,3	19,17,15,11	4,3,3,3	78	39
3,4,10,3	0,3,1,5	8,9,9,7	1,0,1,3	78	39
21,21,13,14	69,86,54,84	23,22,14,16	49,60,30,51	78	39
0,1,2,0	1,4,2,8	5,3,3,6	1,2,6,2	55	39
7,24,19,25	81,106,89,77	12,27,20,18	69,91,84,89	78	39
1,0,1,1	40,34,30,37	1,2,0,4	22,23,30,45	78	39
5,3,4,6	0,1,0,1	2,3,8,4	0,0,0,0	46	39
14,6,12,11	0,0,0,1	11,17,10,19	0,0,0,0	78	39
9,14,13,9	2,1,0,0	22,9,15,16	0,0,0,2	78	39
2,3,6,4	7,13,4,7	4,7,2,1	5,7,2,1	74	39
14,8,17,13	0,0,1,0	15,21,12,20	0,1,2,1	78	39
19,19,16,18	0,0,1,0	16,24,12,20	0,1,2,1	78	39
2,3,4,2	6,4,3,4	3,5,2,2	7,3,3,1	74	39
14,8,15,11	0,1,0,0	14,19,12,21	1,0,4,1	78	39
18,10,15,15	0,1,0,0	18,20,13,20	1,0,4,1	78	39
2,3,4,2	2,4,1,0	3,5,2,1	2,2,0,1	74	39
0,0,0,0	5,6,8,9	0,2,2,0	6,10,8,12	78	39
0,0,0,0	0,4,0,3	0,2,3,1	0,1,1,0	78	39
5,6,8,9	0,4,0,3	6,10,9,13	0,1,1,0	78	39
10,3,3,5	2,3,0,0	6,7,6,0	3,1,5,1	78	39
11,10,6,13	0,0,0,0	4,8,6,10	0,0,0,2	78	39
