IncLevel1	IncLevel2	IncLevelDifference
0.037,0.105,0.096,0.12	0.103,0.082,0.073,0.117	-0.004
0.354,0.36,0.325,0.254	0.274,0.294,0.39,0.248	0.022
0.233,0.132,0.515,0.338	0.233,0.163,0.296,0.0	0.132
0.633,0.578,0.545,0.5	0.507,0.474,0.37,0.483	0.105
1.0,0.291,1.0,1.0	NA,1.0,1.0,1.0	-0.177
0.273,0.25,0.291,0.257	0.301,0.314,0.319,0.35	-0.053
0.85,0.796,0.821,0.922	0.821,0.844,0.875,0.789	0.015
0.427,0.378,0.45,0.392	0.454,0.391,0.451,0.407	-0.014
0.752,0.899,0.947,0.93	0.884,0.937,0.852,0.967	-0.028
0.328,0.271,0.359,0.291	0.288,0.336,0.423,0.378	-0.044
0.11,0.036,0.022,0.025	0.053,0.03,0.076,0.018	0.004
0.139,0.124,0.076,0.087	0.134,0.123,0.102,0.176	-0.027
0.079,0.087,0.109,0.034	0.081,0.086,0.095,0.14	-0.023
0.446,0.47,0.478,0.461	0.401,0.485,0.518,0.52	-0.017
1.0,NA,NA,NA	NA,NA,NA,0.75	0.25
0.287,0.187,0.287,0.58	0.453,0.305,0.446,0.332	-0.049
0.516,0.385,0.318,0.522	0.407,0.466,0.401,0.404	0.016
0.978,0.956,0.97,0.985	0.939,0.929,1.0,0.916	0.026
0.871,0.808,0.801,0.87	0.904,0.952,1.0,0.857	-0.091
0.458,0.371,0.389,0.389	0.68,0.793,0.825,0.425	-0.279
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.977	0.006
1.0,1.0,1.0,1.0	0.0,0.0,NA,NA	1.0
0.545,0.536,0.536,0.545	0.683,0.706,0.219,0.473	0.02
0.632,0.542,0.5,0.548	0.455,0.545,0.571,0.381	0.068
0.75,0.684,0.933,0.852	0.789,0.857,0.952,0.8	-0.045
0.523,0.566,0.517,0.537	0.53,0.551,0.501,0.459	0.025
0.57,0.675,0.561,0.697	0.516,0.547,0.457,0.55	0.108
0.039,0.188,0.069,0.164	0.108,0.07,0.1,0.163	0.005
0.47,0.172,0.059,0.29	0.47,0.0,0.214,0.181	0.031
0.142,0.398,NA,0.181	0.398,1.0,NA,0.398	-0.358
0.554,0.544,0.517,0.486	0.52,0.461,0.362,0.579	0.045
0.0,0.36,0.428,0.212	0.23,0.183,0.14,0.326	0.03
0.329,0.541,0.688,0.44	0.662,0.567,0.462,0.718	-0.103
0.506,0.519,0.495,0.514	0.443,0.476,0.407,0.487	0.055
0.498,0.506,0.47,0.486	0.486,0.481,0.479,0.463	0.013
0.562,0.524,0.485,0.508	0.467,0.543,0.46,0.502	0.027
0.985,0.977,0.991,0.981	0.978,0.986,0.97,0.973	0.007
0.85,0.834,0.838,0.844	0.809,0.874,0.808,0.819	0.014
0.601,0.615,0.575,0.59	0.551,0.576,0.559,0.601	0.023
0.078,0.105,0.043,0.095	0.086,0.088,0.114,0.111	-0.02
0.022,0.036,0.012,0.027	0.027,0.019,0.037,0.04	-0.007
0.587,0.552,0.551,0.545	0.549,0.568,0.511,0.545	0.015
0.858,0.844,0.86,0.853	0.855,0.881,0.828,0.83	0.005
0.621,0.634,0.627,0.62	0.632,0.592,0.607,0.641	0.007
0.211,0.242,0.207,0.21	0.225,0.164,0.232,0.25	-0.0
0.213,0.242,0.215,0.219	0.225,0.164,0.243,0.268	-0.003
0.623,0.623,0.613,0.618	0.605,0.603,0.609,0.656	0.001
0.0,0.005,0.0,0.002	0.005,0.003,0.0,0.01	-0.003
0.258,0.34,0.222,0.165	0.117,0.255,0.188,0.305	0.03
0.425,0.321,0.3,0.242	0.254,0.36,0.298,0.287	0.022
