ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
51554	343,335,344,328	0,1,0,0	386,311,332,301	0,0,0,2	243	149
51555	151,131,129,149	0,0,0,2	95,105,90,143	0,0,0,0	191	149
51556	47,71,71,63	0,0,0,0	56,59,59,63	0,0,1,0	185	149
51559	1,4,3,1	0,0,0,1	0,0,1,2	0,0,0,2	211	149
51560	27,51,51,56	0,0,2,0	31,27,34,44	0,0,1,1	202	149
51561	29,40,57,51	0,0,2,0	47,28,40,40	1,0,0,0	274	149
51562	27,28,45,45	0,0,0,0	35,29,32,40	0,0,1,0	274	149
51563	13,11,25,20	0,0,0,0	24,14,17,22	0,0,1,0	298	149
51564	24,32,47,41	9,9,12,15	45,26,32,35	10,13,7,14	298	149
51565	29,65,50,42	0,0,0,0	49,38,35,39	0,1,0,0	298	149
51566	61,80,89,94	0,1,0,0	74,61,77,93	0,0,0,0	278	149
51567	50,64,71,54	0,1,0,0	64,65,66,79	0,1,0,0	232	149
51568	60,68,76,84	0,0,0,0	75,65,80,79	0,0,1,0	266	149
51570	83,65,87,72	0,0,0,1	66,75,88,76	0,0,0,0	298	149
51575	1,8,5,6	0,0,0,1	3,5,2,3	0,0,0,0	249	149
51576	0,0,0,0	2,9,9,10	0,0,3,0	1,11,4,4	298	149
51577	0,0,0,0	2,9,9,10	1,0,0,0	1,11,4,4	298	149
51578	0,0,0,0	2,9,9,10	1,1,0,0	1,11,4,4	203	149
51579	0,2,0,1	12,11,9,10	1,0,0,1	6,4,5,10	203	149
51580	1,3,0,2	12,14,18,16	2,2,0,2	14,14,22,18	203	149
51581	1,5,7,5	0,0,0,2	1,3,3,3	0,0,0,0	220	149
51582	10,9,8,14	0,0,0,0	9,15,5,9	0,0,1,0	208	149
51583	41,48,47,48	0,0,0,0	36,39,45,26	0,0,1,0	179	149
51584	6,8,5,6	90,91,89,105	3,3,7,5	138,108,117,119	216	149
51585	173,138,159,173	0,0,0,0	195,161,175,192	0,2,0,0	298	149
51586	90,75,90,92	0,1,1,0	116,82,95,103	0,0,0,0	298	149
51587	93,94,83,73	0,1,1,0	79,86,70,85	0,0,0,0	298	149
51588	177,157,152,154	1,0,0,0	158,163,150,174	0,0,0,0	298	149
51589	168,182,140,149	0,1,0,0	164,160,132,199	0,0,0,0	298	149
51590	72,61,49,62	0,0,1,0	82,53,69,64	0,0,0,0	298	149
51591	88,107,90,92	3,2,0,3	88,71,58,87	0,0,2,0	298	149
51592	115,116,94,102	1,0,0,1	81,91,103,87	1,0,0,1	267	149
51593	90,95,81,101	1,2,0,0	73,61,69,61	0,0,0,2	298	149
51594	73,66,68,71	1,3,0,1	111,102,90,124	4,1,3,1	298	149
51595	1,1,0,0	41,38,38,32	1,4,6,1	61,44,53,63	264	149
51596	67,54,53,54	1,0,2,0	61,50,50,63	0,0,0,0	245	149
51597	14,15,8,6	0,0,0,0	6,4,4,7	0,0,2,0	215	149
51598	9,8,7,5	0,1,0,0	12,3,7,5	0,0,0,0	258	149
51599	11,30,24,22	1,0,0,0	9,27,25,25	3,0,0,0	261	149
51600	23,38,42,33	0,0,0,0	41,35,37,47	0,0,1,0	295	149
51601	66,89,103,78	0,0,3,1	93,90,83,84	0,0,0,1	298	149
51602	11,5,28,21	1,3,2,2	21,29,25,17	4,3,0,4	298	149
51603	7,15,4,7	7,8,4,9	7,7,9,13	6,8,7,7	287	149
51604	187,214,223,202	0,0,0,0	226,152,213,220	2,0,0,0	298	149
51606	7,18,27,12	0,0,0,0	17,10,13,19	0,1,0,0	237	149
51607	17,20,30,16	1,0,1,0	13,19,23,21	0,0,0,0	298	149
51608	26,17,19,14	0,0,0,0	19,16,15,11	2,1,0,3	250	149
51609	23,13,16,19	0,0,1,0	19,13,10,14	0,2,0,0	216	149
51612	9,2,2,3	14,23,35,21	4,4,3,3	18,22,23,35	236	149
51613	6,3,3,3	9,16,13,9	2,6,2,2	8,11,7,15	236	149
51614	6,2,2,3	1,1,5,2	2,4,6,2	1,9,4,1	236	149
51615	8,2,3,5	14,23,35,21	5,4,3,2	18,22,23,35	233	149
51616	10,3,2,5	9,16,13,9	2,4,2,2	8,11,7,15	233	149
51617	6,2,2,3	1,1,5,2	4,4,2,2	1,9,4,1	233	149
51618	85,118,118,88	3,0,1,1	115,108,87,111	0,0,4,2	298	149
51619	47,60,55,51	0,0,0,0	68,51,56,84	0,0,1,0	298	149
51620	140,132,144,142	1,0,1,0	163,114,112,164	4,1,2,2	298	149
51621	175,242,222,192	0,0,1,0	253,234,236,213	2,2,1,0	239	149
51622	224,225,217,202	0,0,0,0	249,235,243,242	0,0,0,1	256	149
51623	80,84,83,59	0,0,0,0	78,78,90,69	0,1,0,0	225	149
51624	299,280,309,274	1,3,2,2	273,263,277,315	0,0,1,1	298	149
51625	202,239,244,203	0,0,0,2	206,229,231,216	0,0,0,0	239	149
51626	81,100,115,85	1,3,0,3	91,92,96,75	1,0,1,2	239	149
51627	63,69,72,72	1,3,0,3	70,63,88,71	1,0,1,2	241	149
51628	188,212,202,187	3,3,1,1	186,202,225,217	1,2,1,0	241	149
51629	1,3,0,0	0,0,0,0	0,0,0,2	0,0,1,0	201	149
51630	154,144,149,174	1,0,1,2	157,131,167,128	8,3,3,1	201	149
51631	110,130,102,93	21,14,18,24	116,119,118,100	14,15,9,12	199	149
51632	77,104,114,95	0,0,0,0	100,82,78,98	0,0,1,0	267	149
51633	92,77,82,87	4,0,0,0	65,89,70,104	0,0,0,0	217	149
51634	5,12,17,9	56,44,44,48	11,8,6,5	47,50,39,51	195	149
51635	68,63,55,63	0,0,0,0	63,58,53,60	1,0,0,0	298	149
51636	93,68,66,69	0,0,0,0	59,77,51,76	1,0,0,0	298	149
51637	40,22,23,37	1,0,0,0	22,24,38,32	0,0,0,0	211	149
51638	0,0,2,1	61,39,45,62	0,0,0,0	42,44,51,50	298	149
51639	14,24,25,23	0,0,0,0	26,22,30,35	2,1,0,0	298	149
51640	0,0,0,0	5,1,5,7	1,0,0,0	5,7,5,7	288	149
51641	0,0,2,0	5,1,5,7	2,0,0,1	5,7,5,7	292	149
51643	0,0,0,0	0,1,0,0	0,0,0,1	0,0,0,0	183	149
51645	21,18,8,14	5,0,1,2	17,27,30,30	8,1,2,1	285	149
51646	47,55,45,50	0,0,2,0	55,32,50,40	0,0,0,0	234	149
51647	2,3,4,2	65,76,61,61	2,1,0,5	60,43,65,47	295	149
51648	174,205,148,166	0,0,0,0	144,117,145,129	0,1,0,0	298	149
51649	38,38,31,40	0,0,2,0	29,28,31,27	0,0,0,0	275	149
51650	1,6,0,6	105,104,84,108	1,3,0,0	72,53,87,77	176	149
51651	0,1,2,2	2,0,1,3	2,0,5,1	2,6,4,0	298	149
51652	0,0,1,0	277,342,340,379	0,1,0,0	381,396,355,348	209	149
51653	596,673,708,722	2,3,2,0	728,772,759,687	4,3,1,0	298	149
51654	1,0,0,0	319,331,368,343	0,1,0,0	347,376,404,340	248	149
51656	1,0,0,2	319,331,368,343	2,0,0,0	347,376,404,340	295	149
51657	166,146,154,153	19,8,11,10	149,141,220,145	12,7,11,6	242	149
51658	168,151,156,153	0,0,0,0	145,141,215,144	1,0,0,1	245	149
51659	320,328,367,338	19,8,11,10	343,369,391,337	12,7,11,6	245	149
51660	206,200,245,203	0,0,0,0	280,232,285,278	0,1,0,0	239	149
51661	258,226,272,261	0,0,0,1	370,286,389,335	1,2,1,0	298	149
51662	150,144,156,134	0,0,3,2	208,160,205,182	3,0,3,0	298	149
51663	114,134,135,139	0,0,3,2	167,145,186,190	3,0,3,0	270	149
51664	225,216,251,266	3,0,0,1	333,270,368,343	6,2,0,0	270	149
51665	189,170,204,149	0,0,0,1	237,253,231,258	0,0,0,0	220	149
51666	262,246,265,230	0,0,0,1	329,334,279,330	0,0,0,0	279	149
51667	165,170,172,146	0,1,0,1	240,203,168,169	0,2,0,0	203	149
51668	242,243,272,244	0,0,0,0	345,269,259,280	0,1,0,0	298	149
51669	223,188,212,173	0,1,0,0	189,212,218,220	0,0,0,0	229	149
51670	228,279,231,180	2,0,0,1	192,252,256,253	0,0,0,0	277	149
51671	193,227,211,160	1,0,0,0	176,205,206,233	0,1,1,0	257	149
51672	94,92,99,74	0,1,0,0	85,84,93,111	0,0,0,0	257	149
51673	245,262,270,213	1,0,0,0	223,206,222,251	3,2,0,1	298	149
51674	244,255,249,231	0,0,0,0	255,183,201,236	0,0,1,0	269	149
51675	138,150,140,133	0,1,0,0	155,106,127,134	0,0,2,0	232	149
51676	41,29,41,30	0,1,0,0	48,32,24,37	0,0,2,0	183	149
51677	187,178,182,156	0,0,0,0	151,141,150,168	0,0,1,0	298	149
51678	185,165,180,187	2,0,0,1	167,138,142,165	2,0,0,0	282	149
51679	159,160,187,161	2,0,0,0	122,119,100,129	0,0,0,0	246	149
51680	184,203,177,179	2,0,0,0	145,114,124,140	0,0,0,0	298	149
51681	125,113,106,107	3,0,1,5	82,60,97,84	1,2,3,5	243	149
51682	18,13,30,27	3,2,1,3	11,16,21,13	1,3,0,1	298	149
51683	5,0,1,0	0,1,0,0	2,5,1,4	0,0,0,0	298	149
51685	11,10,9,11	0,0,0,0	9,8,12,9	1,0,0,0	194	149
51686	13,11,14,7	5,7,2,3	17,20,18,8	2,3,7,6	226	149
51687	6,6,5,3	0,3,0,0	5,5,4,4	0,0,0,0	248	149
51688	6,2,3,0	2,0,0,0	2,3,5,2	3,0,0,0	248	149
51689	0,0,0,0	0,0,0,1	0,1,0,0	0,0,0,0	248	149
51690	2,1,0,1	0,0,0,1	0,5,1,3	0,0,0,0	298	149
51691	13,3,9,6	2,0,0,0	5,9,11,7	3,0,0,0	225	149
51692	2,1,4,3	0,0,0,1	3,7,5,3	0,0,0,0	225	149
51693	4,6,4,4	0,0,0,1	3,12,8,6	0,0,0,0	298	149
51694	3,1,6,2	0,0,0,1	3,1,5,1	0,0,0,0	254	149
51696	2,0,1,3	7,3,8,2	3,1,3,4	2,1,8,1	170	149
51697	2,2,2,2	0,0,0,0	3,0,1,0	2,0,3,1	194	149
51698	3,2,0,0	33,49,49,43	2,0,3,1	32,47,47,37	200	149
51699	107,116,112,92	0,0,3,1	91,101,105,102	0,0,0,0	236	149
51700	64,64,78,75	3,2,4,9	65,77,66,67	10,6,8,8	225	149
51701	112,129,110,126	0,0,0,0	131,126,115,154	0,1,0,0	279	149
51702	16,21,13,8	43,48,38,43	15,11,14,31	65,38,55,53	236	149
51703	10,19,5,10	43,48,38,43	5,8,7,16	65,38,55,53	270	149
51704	110,108,102,107	1,0,1,1	124,112,116,149	0,1,0,0	240	149
51705	4,3,1,2	71,58,73,80	1,1,2,6	74,79,72,83	237	149
51707	140,147,161,145	0,0,0,2	172,152,149,182	0,1,0,3	298	149
51708	227,288,268,258	9,6,4,16	205,211,254,257	5,2,4,4	298	149
51709	0,0,1,0	0,0,0,0	0,0,2,0	2,0,0,0	242	149
51711	370,357,376,339	192,141,176,181	406,337,393,427	198,163,182,209	185	149
51712	566,505,527,528	1,1,1,2	581,468,573,628	4,1,0,3	179	149
51713	153,125,152,127	0,0,0,0	155,117,161,184	0,1,0,0	179	149
51714	755,674,681,739	9,14,14,12	766,639,755,807	11,4,12,16	269	149
51715	73,81,97,77	0,1,0,0	65,50,120,87	0,1,2,3	172	149
51716	420,450,430,427	0,1,2,2	423,400,446,365	2,3,0,5	295	149
51717	0,2,2,0	0,0,2,3	0,1,4,3	0,0,0,0	295	149
51718	446,461,406,411	0,0,2,3	426,406,402,421	0,0,0,0	289	149
51719	877,926,854,846	0,1,2,0	856,805,847,788	0,0,2,0	289	149
51720	2,0,1,0	0,0,0,0	0,0,0,0	0,0,1,0	221	149
51721	915,904,830,836	2,2,5,2	785,747,723,826	2,0,7,5	281	149
51722	453,439,414,419	2,0,0,0	407,377,375,383	0,0,0,2	281	149
51723	209,227,255,247	2,0,0,0	227,236,217,199	0,1,3,0	249	149
51724	421,380,434,361	0,0,0,2	353,299,355,399	0,1,0,0	208	149
51725	2,0,2,0	2,0,1,3	0,1,3,0	1,0,0,0	180	149
51726	266,257,269,253	0,1,0,1	240,215,246,274	0,1,0,1	180	149
51727	0,0,2,0	1,0,0,0	0,0,0,3	0,0,0,0	167	149
51728	0,0,1,3	0,0,1,0	0,2,0,3	4,2,1,1	167	149
51729	2,0,2,0	185,172,186,168	0,0,0,3	160,150,173,185	167	149
51730	1,1,2,1	1,0,0,0	0,0,0,3	0,0,0,0	201	149
51731	1,1,2,1	0,0,1,0	1,0,0,3	4,2,1,1	201	149
51732	1,1,2,1	0,0,3,2	0,0,0,6	0,1,0,0	201	149
51733	4,2,2,5	185,172,186,168	0,0,3,3	160,150,173,185	201	149
51734	68,75,79,72	25,34,30,20	61,75,99,73	29,19,29,24	225	149
51735	383,375,413,358	0,0,0,0	368,375,415,394	1,0,0,0	298	149
51736	153,214,171,183	0,2,0,0	199,182,208,163	1,2,1,0	298	149
51737	241,201,273,281	8,10,8,4	293,249,338,334	5,15,9,6	249	149
51738	1,0,0,0	0,1,0,1	1,1,0,0	0,1,0,0	177	149
51740	10,11,7,4	0,0,1,0	9,3,4,8	0,0,0,0	273	149
51741	201,190,203,164	10,9,4,4	212,215,170,215	5,3,4,7	286	149
51742	169,118,144,165	0,0,0,0	160,128,131,193	0,0,1,0	298	149
51743	208,155,195,225	0,0,0,1	225,191,167,219	0,0,0,0	298	149
51744	20,14,15,16	23,20,20,19	40,21,18,19	20,10,22,31	259	149
51745	27,22,21,17	62,57,71,79	39,25,19,17	85,73,58,57	259	149
51746	11,12,8,10	3,2,3,4	30,17,12,10	3,7,0,7	259	149
51747	1,0,2,0	16,10,14,7	0,0,0,0	9,8,8,7	206	149
51750	163,157,187,171	1,2,0,1	175,183,220,174	0,0,0,1	298	149
51751	163,157,187,171	0,0,1,0	175,183,221,175	0,0,0,0	298	149
51752	334,344,409,365	1,5,0,0	389,421,442,383	0,0,2,0	298	149
51753	166,157,188,175	1,5,0,0	179,183,220,175	0,0,2,0	298	149
51754	172,188,222,196	1,5,0,0	216,240,224,214	0,0,2,0	298	149
51755	134,162,200,183	1,0,0,1	181,204,197,197	0,0,0,0	298	149
51756	134,159,196,183	1,0,0,1	180,204,196,197	0,0,0,0	298	149
51757	138,159,197,184	1,0,0,1	182,204,196,198	0,0,0,0	298	149
51758	185,217,256,248	1,0,0,1	246,275,259,260	0,0,0,0	298	149
51759	255,277,342,318	1,0,0,1	337,374,340,347	0,0,0,0	290	149
51763	173,152,164,151	0,0,2,0	159,139,144,146	0,0,0,0	227	149
51764	150,125,126,122	0,0,2,0	137,99,124,132	1,0,1,0	254	149
51765	56,56,52,53	1,2,3,5	62,42,57,67	0,1,2,0	254	149
51766	58,74,66,54	1,2,3,5	62,44,78,59	0,1,2,0	298	149
51767	0,0,3,0	0,0,0,2	1,0,1,0	0,0,0,0	298	149
51768	152,144,138,124	0,0,0,0	138,104,146,128	0,1,0,0	298	149
51769	5,8,9,9	1,2,3,5	13,8,16,7	0,1,2,0	298	149
51770	99,78,81,79	0,0,0,0	89,68,84,76	0,1,0,0	298	149
51771	12,29,20,23	49,62,57,45	16,9,23,19	58,33,44,44	193	149
51772	36,39,44,41	1,0,0,0	38,27,43,32	0,0,0,0	243	149
51773	40,56,52,39	1,0,0,0	53,28,42,41	0,0,0,0	243	149
51774	3,0,1,0	13,7,14,13	0,0,0,0	4,7,11,8	229	149
