ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
42631	143,125,91,121	1,0,1,0	130,129,118,141	1,0,1,2	284	149
42632	71,40,38,48	2,1,3,6	58,47,56,50	5,1,7,0	284	149
42633	548,631,520,564	95,105,66,84	535,586,550,677	85,95,75,105	264	149
42634	616,735,648,593	9,5,3,4	548,522,611,627	7,10,5,0	264	149
42635	2347,2567,1781,1944	9,5,3,4	2088,2134,2099,2331	7,10,5,0	1489	149
42636	159,156,123,100	2,1,3,6	134,143,125,153	5,1,7,0	264	149
42637	249,259,188,181	9,5,3,4	217,237,196,253	7,10,5,0	264	149
42638	165,173,156,167	0,2,5,2	186,208,161,222	2,0,6,3	264	149
42639	303,313,263,266	220,273,276,209	293,344,265,375	198,157,220,192	264	149
42640	738,721,444,590	9,5,3,4	647,656,581,725	7,10,5,0	573	149
42641	656,633,391,518	2,1,3,6	574,582,514,641	5,1,7,0	573	149
42642	793,779,531,672	220,273,276,209	730,767,652,844	198,157,220,192	573	149
42643	22,9,14,14	220,273,276,209	17,21,16,16	198,157,220,192	190	149
42644	49,36,27,32	183,189,138,132	51,58,41,38	159,194,143,201	190	149
42645	1727,2003,1739,1739	0,1,0,0	1556,1272,1243,1527	3,0,0,0	520	149
42646	596,711,617,607	0,1,0,0	516,429,468,513	3,0,0,0	344	149
42647	1009,1216,928,1028	0,0,0,0	736,732,691,794	2,0,0,0	389	149
42648	1656,1944,1481,1647	0,1,0,1	1209,1154,1086,1229	0,0,6,0	389	149
42650	1,3,1,2	48,25,46,63	1,0,0,4	58,57,42,34	242	149
42651	127,134,108,160	1,1,1,2	127,112,140,136	0,0,0,3	341	149
42652	3,3,3,3	0,0,0,0	5,3,1,8	0,2,0,0	342	149
42655	42,48,17,36	0,2,0,0	18,20,24,16	0,0,0,0	212	149
42656	26,24,17,16	0,0,1,0	14,23,21,21	0,0,0,0	252	149
42657	55,51,53,57	0,2,1,0	35,47,37,61	0,0,0,0	264	149
42659	47,66,51,61	0,0,1,0	49,41,47,58	0,0,0,0	220	149
42660	50,50,68,74	0,1,0,0	58,60,63,78	3,0,0,1	249	149
42661	43,41,36,45	0,0,0,1	63,37,51,56	0,2,4,0	300	149
42662	2,0,2,3	48,32,43,37	0,1,1,0	45,40,35,41	241	149
42663	36,44,47,31	20,23,11,15	53,39,46,42	10,12,18,19	260	149
42664	10,18,17,9	20,23,11,15	20,18,8,21	10,12,18,19	264	149
42666	232,228,288,264	0,0,2,0	256,224,271,273	0,1,0,0	229	149
42667	112,89,118,109	0,1,0,0	114,95,109,125	1,0,0,1	228	149
42668	0,0,1,0	54,68,68,64	0,0,1,0	82,60,46,57	284	149
42669	0,0,3,2	0,0,1,0	0,4,3,0	0,0,1,0	340	149
42670	0,0,3,2	0,1,3,2	1,3,3,0	1,1,4,0	340	149
42671	5,6,5,5	55,55,71,64	13,3,2,8	84,70,49,65	250	149
42672	5,2,3,3	3,5,7,6	6,2,2,5	0,0,2,3	250	149
42673	136,119,89,105	0,0,0,0	86,104,80,75	0,0,0,2	236	149
42676	65,114,88,88	1,0,0,0	74,93,90,100	0,0,0,1	217	149
42677	63,103,84,86	3,1,0,1	58,90,91,92	0,1,0,0	217	149
42678	27,22,17,16	3,1,0,1	22,20,12,26	0,1,0,0	329	149
42679	32,39,27,23	4,6,6,5	40,28,17,37	2,5,6,4	329	149
42680	295,273,229,335	0,0,0,0	203,248,209,139	0,0,1,0	284	149
42681	160,141,114,169	0,0,0,0	90,126,103,75	0,0,1,0	287	149
42682	288,287,248,335	0,0,2,2	213,231,204,138	0,0,1,0	280	149
42683	1439,1358,1357,1299	0,0,0,0	1192,1085,1153,1152	1,0,0,0	1276	149
42684	158,168,179,183	0,0,0,0	154,153,181,179	2,0,0,0	299	149
42685	531,490,444,431	4,0,1,0	435,377,458,431	1,0,0,1	344	149
42686	275,329,288,300	2,4,2,2	293,285,327,313	2,5,1,0	312	149
42687	140,164,150,146	0,0,2,0	155,132,142,158	2,0,0,0	235	149
42688	59,79,68,75	0,0,0,0	68,70,70,68	0,2,0,0	235	149
42689	11,12,6,4	4,2,2,3	4,5,3,9	1,0,3,2	251	149
42690	11,13,7,3	85,89,85,82	4,5,3,12	95,74,82,95	251	149
42691	303,347,231,190	85,89,85,82	286,244,275,272	95,74,82,95	1597	149
42692	300,343,225,184	4,4,2,10	279,241,266,268	7,12,9,4	1597	149
42693	22,21,18,20	85,89,85,82	19,18,29,18	95,74,82,95	337	149
42694	19,17,12,14	4,4,2,10	12,15,20,14	7,12,9,4	337	149
42695	18,19,16,18	0,1,1,0	18,18,26,16	0,0,0,3	337	149
42696	34,21,32,43	0,0,0,0	36,9,20,21	0,2,0,0	196	149
42697	119,110,115,125	4,4,2,10	129,83,101,116	7,12,9,4	196	149
42698	39,25,36,49	2,0,0,0	42,13,29,26	1,1,0,1	196	149
42699	101,99,82,92	0,0,1,0	87,90,89,85	0,1,0,0	219	149
42700	135,127,121,130	1,5,1,4	130,105,112,114	5,4,4,4	248	149
42701	59,62,64,60	1,5,1,4	75,44,60,48	5,4,4,4	272	149
42702	2,2,2,2	1,5,1,4	2,0,4,0	5,4,4,4	173	149
42703	6,1,1,2	0,0,0,0	4,8,8,3	0,0,0,1	308	149
42704	2596,2512,2610,2536	8,1,2,0	2319,2028,2096,2219	3,1,3,2	357	149
42705	623,555,366,467	888,973,1005,1032	507,511,483,466	877,814,874,962	605	149
42706	1113,1179,1241,1271	0,0,1,0	1081,1019,1176,1221	0,0,0,1	188	149
42707	596,568,651,603	1,0,0,1	653,579,645,652	0,2,2,1	232	149
42708	591,610,652,581	0,0,0,0	727,579,630,660	4,0,0,1	243	149
42709	162,191,156,176	149,136,168,131	189,168,144,184	114,139,96,174	179	149
42710	421,430,520,465	0,1,0,0	428,330,365,400	1,0,0,0	229	149
42711	386,395,549,443	3,0,0,0	375,306,324,378	0,0,0,0	212	149
42712	15,3,4,5	3,0,0,0	7,4,3,1	0,0,0,0	346	149
42713	9,0,4,2	2,0,1,0	2,0,1,1	0,1,0,0	234	149
42714	5,1,0,1	2,0,1,0	2,2,1,1	0,1,0,0	508	149
42715	7,2,0,3	2,0,1,0	4,2,3,4	0,1,0,0	1031	149
42716	169,173,168,174	0,0,1,0	143,136,156,180	0,0,0,0	257	149
42718	142,160,158,133	1,0,0,0	203,159,208,170	0,0,0,0	264	149
42719	116,110,140,114	0,0,3,0	138,118,113,145	0,0,0,0	239	149
42720	130,90,90,99	0,0,2,0	98,122,95,125	0,0,0,0	316	149
42721	207,153,170,161	0,0,1,0	169,163,154,217	0,0,2,1	323	149
42722	69,55,57,52	0,0,0,0	50,54,54,79	0,0,1,0	270	149
42723	2,1,0,0	74,67,66,76	0,2,5,1	66,61,62,60	376	149
42724	171,169,155,179	0,0,1,1	142,135,125,116	1,0,0,0	336	149
42726	121,130,131,129	4,7,3,1	121,86,130,126	9,4,3,5	239	149
42727	44,41,35,43	4,7,3,1	39,24,31,42	9,4,3,5	227	149
42728	54,57,53,44	0,0,0,1	45,47,68,50	0,0,0,0	359	149
42729	101,75,107,100	0,1,0,0	94,88,104,120	0,0,0,0	261	149
42730	48,35,50,39	0,1,0,0	48,35,60,57	0,0,0,0	283	149
42731	175,239,214,191	11,4,13,4	230,182,219,195	4,4,9,7	282	149
42732	0,0,0,0	104,137,135,105	2,0,4,2	145,112,123,111	267	149
42733	134,148,146,146	7,9,8,8	166,114,144,139	12,5,7,6	276	149
42734	144,147,139,158	0,0,2,2	172,123,159,159	1,0,0,0	256	149
42736	85,87,93,89	0,0,0,0	82,113,80,90	1,4,0,0	317	149
42737	160,151,149,158	0,0,0,0	160,194,158,163	0,0,0,1	317	149
42739	70,61,83,79	3,4,2,3	101,67,67,96	0,0,0,1	262	149
42741	395,389,430,348	0,0,0,0	413,405,445,467	0,1,0,0	292	149
42742	233,250,252,234	0,1,0,0	253,254,284,296	0,5,0,0	210	149
42743	58,82,61,56	0,0,2,0	69,81,84,96	0,0,0,0	272	149
