IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3,1,4,4	39,59,33,34	3,1,4,4	50,24,31,39	469	39
4,6,3,0	0,0,0,1	4,5,2,2	0,0,0,0	48	39
0,0,1,1	0,5,0,0	0,1,0,0	1,0,0,1	42	39
35,44,53,41	77,84,91,79	45,41,42,38	83,53,45,54	606	39
0,4,1,1	0,0,0,0	0,0,0,4	2,0,0,0	42	39
35,35,33,40	15,20,8,16	29,28,29,40	15,11,22,9	42	39
75,86,87,88	3,4,0,4	62,62,54,84	3,3,5,4	78	39
15,7,7,10	2,0,4,1	5,5,9,1	3,1,2,0	42	39
0,0,0,0	0,0,0,2	0,0,3,0	0,0,0,0	42	39
539,481,459,457	1528,1296,1317,1358	430,405,498,468	1486,1339,1402,1494	127	39
7,13,13,5	87,85,117,103	8,6,6,5	102,109,134,139	70	39
16,22,25,13	36,38,38,27	16,16,19,25	48,48,27,48	63	39
0,4,0,1	43,72,68,49	2,1,1,1	88,46,66,70	102	39
37,47,46,42	0,7,6,6	41,35,47,50	2,6,6,3	43	39
16,50,34,36	2,4,8,2	27,41,28,45	3,3,3,8	43	39
26,25,31,27	4,4,7,12	27,24,28,28	7,1,2,4	43	39
1,0,0,2	0,0,0,1	0,0,0,0	1,0,0,0	43	39
3,3,1,0	66,66,79,65	4,4,4,2	80,81,97,80	75	39
73,97,90,85	0,0,0,3	60,43,43,40	1,0,1,5	174	39
55,50,42,49	0,5,1,1	22,24,45,22	0,0,0,5	76	39
4,7,2,4	0,0,2,0	5,6,4,8	1,0,0,1	42	39
143,135,125,145	2,1,3,1	118,122,127,131	1,0,1,1	42	39
1,0,0,2	50,46,54,50	0,0,0,1	77,67,57,64	58	39
5,5,4,7	26,23,35,25	7,7,6,1	24,26,24,21	42	39
5,1,0,2	22,25,35,27	1,0,4,4	34,55,37,34	82	39
558,824,770,550	69,82,67,72	798,799,695,743	89,98,75,92	2759	39
6,21,17,13	117,147,151,152	3,7,9,7	113,122,138,125	164	39
98,97,106,103	12,12,11,3	118,97,84,108	20,6,15,14	43	39
1,1,2,0	10,11,10,12	1,0,3,0	5,5,9,15	59	39
3,7,9,5	2,2,1,3	11,3,10,9	5,7,9,13	75	39
3,5,8,4	1,2,3,0	9,3,7,9	0,2,0,3	43	39
1,4,4,1	2,2,1,3	2,2,3,3	5,7,9,13	71	39
244,218,187,271	26,17,22,19	217,203,236,243	19,34,24,23	43	39
47,71,51,35	13,26,20,18	45,27,41,35	9,9,14,17	42	39
33,47,53,27	65,102,99,86	40,34,44,39	110,102,84,99	42	39
129,135,153,99	18,18,19,37	146,149,145,180	40,29,35,40	145	39
5,4,6,4	0,1,0,0	8,19,7,2	2,0,0,0	76	39
19,16,16,25	4,3,3,1	7,10,15,24	4,0,5,2	42	39
15,15,10,12	82,87,81,99	10,15,9,17	80,90,76,94	113	39
1,1,3,3	7,7,4,2	3,5,0,1	3,5,5,9	77	39
3,1,3,4	38,46,41,51	2,5,0,1	48,47,38,50	77	39
0,5,6,1	1,0,0,0	0,1,0,1	0,0,4,0	43	39
38,24,23,31	1,5,1,2	22,21,24,28	0,0,1,6	42	39
25,27,22,26	16,13,22,31	18,24,20,28	11,13,14,17	112	39
9,11,10,12	0,0,0,0	9,17,9,18	0,0,3,0	112	39
5,5,3,5	5,1,1,0	1,3,5,2	8,2,2,2	161	39
11,14,10,3	3,1,2,0	6,17,9,7	0,0,4,0	112	39
16,6,1,7	1,0,0,0	8,5,4,2	0,0,0,0	82	39
74,90,103,67	10,30,14,10	91,64,66,61	12,18,15,12	88	39
16,20,30,13	2,0,1,2	13,18,6,9	0,1,0,0	88	39
42,85,48,59	7,5,10,2	42,43,39,42	11,3,6,9	90	39
0,2,1,1	0,0,0,0	3,4,6,2	0,0,0,1	125	39
7,8,3,10	161,170,181,145	4,4,7,10	156,140,119,154	42	39
12,3,3,6	16,19,9,27	3,5,2,2	19,11,17,14	61	39
289,423,432,337	54,53,48,40	362,368,369,387	54,43,49,45	923	39
13,26,18,25	1,2,7,3	21,14,12,15	0,2,0,1	42	39
31,28,26,26	4,2,0,2	11,14,21,35	3,1,0,0	44	39
8,16,15,13	27,34,24,25	12,11,14,25	21,12,16,28	95	39
193,199,215,168	42,40,34,37	229,221,225,218	60,43,44,46	2106	39
49,44,48,45	0,3,1,0	32,14,18,29	0,0,0,0	47	39
47,37,49,38	6,11,9,7	52,32,42,43	10,9,11,5	43	39
3,1,5,4	312,277,276,239	6,0,2,2	373,303,306,323	99	39
5,4,5,8	65,51,64,56	8,2,4,4	88,58,87,74	103	39
314,280,276,243	65,51,64,56	375,305,308,325	88,58,87,74	43	39
2,2,5,3	0,0,0,0	5,6,4,3	1,1,0,1	42	39
66,62,58,57	6,1,5,2	41,43,48,56	2,7,5,9	42	39
5,5,4,8	12,15,15,16	8,2,0,5	17,16,13,18	42	39
5,6,4,3	10,20,16,14	13,10,6,9	24,19,25,19	349	39
6,2,12,1	11,14,5,10	2,1,3,6	11,11,6,10	123	39
51,37,45,38	3,3,1,3	48,39,38,45	3,2,2,7	102	39
315,244,299,274	4,0,1,7	286,239,329,304	0,3,2,1	45	39
345,271,334,306	0,0,0,1	321,265,359,335	0,0,0,0	62	39
34,27,36,39	0,0,0,1	35,29,32,32	0,0,0,0	56	39
24,50,38,31	42,43,53,58	28,24,18,28	47,40,29,56	108	39
180,129,140,118	24,21,23,25	152,119,119,173	20,20,21,17	69	39
295,388,347,345	1,0,1,2	285,261,256,358	0,0,5,3	2824	39
9,17,11,10	0,0,0,1	13,10,12,10	0,0,2,0	58	39
64,104,76,75	9,7,7,11	52,52,62,67	5,2,8,5	58	39
105,205,144,141	15,12,15,22	124,131,118,142	27,10,21,18	1632	39
8,7,0,5	28,28,42,41	5,8,5,4	38,48,39,32	69	39
6,1,0,1	0,1,0,0	7,1,3,3	0,0,0,0	128	39
0,1,0,2	32,22,29,15	1,1,1,1	28,35,16,17	42	39
25,28,16,26	12,9,11,13	30,37,44,40	10,11,14,14	44	39
7,10,10,6	5,8,4,0	18,12,19,10	11,4,5,16	42	39
28,15,10,15	5,8,4,0	26,28,24,41	11,4,5,16	100	39
28,15,10,15	7,10,10,6	26,27,24,41	18,11,19,10	97	39
6,6,6,4	18,19,20,10	7,6,2,5	22,14,14,21	92	39
60,32,51,55	2,1,3,4	49,33,42,35	4,2,1,2	189	39
10,16,7,10	6,9,11,16	14,12,10,7	5,5,10,9	89	39
9,12,6,4	0,0,1,0	10,7,6,7	0,0,1,0	89	39
4,1,5,3	333,328,259,324	3,4,3,6	349,361,332,363	76	39
59,52,52,50	5,6,5,5	42,50,49,57	4,2,1,3	42	39
11,8,16,13	72,63,72,75	12,15,10,12	86,80,78,86	151	39
5,2,0,4	0,0,0,3	1,7,3,4	0,0,0,0	43	39
47,62,51,41	7,8,4,15	51,35,40,31	12,9,13,20	43	39
2,4,9,2	19,16,15,8	1,2,2,6	20,10,16,19	68	39
0,0,0,0	9,6,7,12	0,0,1,0	16,8,12,15	84	39
30,14,7,14	21,29,35,27	9,5,6,15	17,21,15,17	283	39
67,111,83,69	0,0,0,1	93,82,94,76	0,2,0,0	1029	39
57,104,79,57	0,0,0,1	82,75,72,77	0,2,0,0	1043	39
0,1,4,3	10,8,8,15	3,4,2,9	12,10,24,8	53	39
12,6,12,12	5,2,1,1	13,18,16,21	3,1,0,2	386	39
17,6,19,13	260,215,239,227	13,19,15,16	228,228,233,244	44	39
4,9,11,6	0,0,0,0	2,10,7,11	1,0,0,0	99	39
4,9,11,6	0,0,1,0	2,10,7,11	0,1,0,2	102	39
17,34,31,32	1,1,0,0	34,57,32,48	0,1,1,0	445	39
0,0,0,0	0,0,1,0	1,0,0,0	0,1,0,2	42	39
13,25,20,26	1,1,0,0	33,47,25,37	0,1,1,0	385	39
13,25,21,26	1,1,0,0	32,48,25,39	0,1,1,0	382	39
23,17,10,12	0,1,1,2	15,17,29,20	1,0,0,0	123	39
15,13,7,9	2,0,2,1	10,7,7,7	6,3,0,3	161	39
38,29,16,19	2,0,2,1	24,24,36,27	6,3,0,3	245	39
28,31,45,40	6,6,7,9	33,34,35,29	8,11,5,5	48	39
5,3,3,4	56,43,54,39	7,5,5,6	65,36,58,51	92	39
130,115,125,147	3,0,0,0	97,67,99,89	0,0,0,0	1002	39
1,4,5,6	1,0,0,2	6,4,7,7	0,0,0,0	42	39
1,3,5,5	0,0,0,0	7,3,7,7	0,1,0,0	42	39
177,180,170,163	47,40,49,45	148,117,161,164	54,39,65,72	42	39
6,6,1,3	0,0,0,0	1,2,3,2	0,0,0,1	68	39
22,22,9,17	0,0,0,0	25,11,20,14	1,0,0,0	68	39
17,12,15,17	2,3,1,2	9,15,15,14	3,3,0,1	43	39
1,9,4,15	3,3,1,1	1,5,10,15	2,1,3,0	1465	39
0,0,1,0	1,4,0,0	0,1,0,1	1,0,5,2	137	39
32,45,60,46	5,16,12,11	41,32,23,52	13,8,11,12	63	39
9,14,10,9	0,0,0,0	8,7,17,10	0,1,0,0	54	39
64,74,61,74	2,12,3,6	73,70,56,75	8,5,12,5	66	39
14,15,13,15	2,0,0,3	18,6,20,21	3,3,4,2	66	39
159,150,135,143	10,8,5,5	160,145,129,132	3,10,4,2	126	39
112,95,82,103	1,3,2,2	122,92,99,101	0,2,5,2	126	39
133,158,114,139	8,14,11,20	116,120,110,127	20,8,11,13	43	39
227,431,360,313	16,10,19,20	418,389,367,380	20,32,20,21	601	39
1,1,1,0	1,0,1,3	0,1,1,0	4,3,3,4	42	39
