IncLevel1	IncLevel2	IncLevelDifference
0.543,0.686,0.531,0.585	0.552,0.627,0.575,0.519	0.018
0.504,0.491,0.445,0.424	0.445,0.435,0.409,0.423	0.038
0.527,0.573,0.592,0.647	0.604,0.561,0.502,0.477	0.049
0.61,0.633,0.636,0.696	0.577,0.589,0.622,0.661	0.032
0.531,0.715,0.545,0.609	0.5,0.414,0.817,0.507	0.04
0.669,0.202,0.313,0.602	0.387,0.558,0.695,1.0	-0.214
0.523,0.454,0.524,0.517	0.568,0.519,0.483,0.533	-0.021
0.252,0.0,0.0,NA	NA,0.0,1.0,NA	-0.416
0.194,0.064,0.172,0.255	0.095,0.219,0.218,0.224	-0.018
0.031,0.042,0.042,0.05	0.088,0.077,0.043,0.037	-0.02
0.192,0.182,0.21,0.183	0.228,0.155,0.202,0.135	0.012
0.504,0.61,0.572,0.585	0.597,0.534,0.495,0.551	0.023
0.432,0.399,0.403,0.469	0.409,0.391,0.41,0.396	0.024
0.056,0.055,0.085,0.054	0.055,0.06,0.108,0.063	-0.009
0.107,0.144,0.153,0.127	0.146,0.143,0.151,0.166	-0.019
0.094,0.111,0.157,0.123	0.136,0.131,0.093,0.152	-0.007
0.087,0.113,0.146,0.111	0.118,0.139,0.088,0.124	-0.003
0.221,0.198,0.313,0.218	0.21,0.267,0.165,0.236	0.018
0.206,0.198,0.292,0.224	0.21,0.288,0.152,0.223	0.012
0.297,0.284,0.396,0.294	0.291,0.364,0.226,0.311	0.02
0.279,0.284,0.373,0.303	0.291,0.389,0.21,0.295	0.014
0.518,0.46,0.413,0.441	0.458,0.381,0.431,0.405	0.039
0.593,0.595,0.511,0.58	0.573,0.592,0.496,0.61	0.002
0.483,0.465,0.489,0.506	0.458,0.504,0.443,0.464	0.018
0.413,0.407,0.453,0.444	0.417,0.496,0.463,0.418	-0.019
0.589,0.565,0.529,0.524	0.556,0.492,0.526,0.541	0.023
0.469,0.46,0.461,0.502	0.473,0.501,0.406,0.417	0.024
0.951,0.0,0.0,0.0	0.0,0.0,0.0,NA	0.238
0.39,0.488,0.494,0.451	0.401,0.428,0.438,0.493	0.016
0.475,0.473,0.46,0.395	0.431,0.502,0.401,0.441	0.007
0.403,0.55,0.441,0.525	0.457,0.392,0.519,0.527	0.006
0.006,0.0,0.007,0.007	0.01,0.0,0.0,0.0	0.003
0.541,0.519,0.452,0.518	0.511,0.493,0.389,0.607	0.008
0.392,0.371,0.386,0.418	0.354,0.401,0.401,0.37	0.01
0.391,0.383,0.414,0.386	0.359,0.456,0.39,0.361	0.002
0.122,0.054,0.062,0.088	0.197,0.175,0.188,0.114	-0.087
1.0,0.961,1.0,0.992	0.986,0.986,1.0,0.963	0.004
1.0,0.932,1.0,0.989	0.982,0.969,1.0,0.945	0.006
0.404,0.358,0.364,0.402	0.443,0.301,0.39,0.396	-0.0
0.913,0.907,0.923,0.853	0.889,0.947,0.941,0.864	-0.011
0.812,0.783,0.748,0.791	0.847,0.775,0.769,0.767	-0.006
0.261,0.207,0.108,0.392	0.282,0.399,0.246,0.298	-0.064
0.642,0.595,0.797,0.789	0.662,0.802,0.6,0.645	0.029
0.579,0.638,0.65,0.635	0.629,0.586,0.609,0.488	0.047
0.471,0.485,0.501,0.5	0.438,0.463,0.473,0.405	0.044
0.124,0.086,0.116,0.067	0.079,0.113,0.091,0.047	0.016
0.398,0.399,0.377,0.396	0.339,0.363,0.343,0.428	0.024
0.622,0.43,0.716,0.516	0.34,0.478,0.595,0.389	0.12
0.911,1.0,1.0,1.0	1.0,0.873,1.0,1.0	0.009
0.768,0.801,0.647,0.752	0.445,0.647,0.574,0.435	0.217
0.243,0.0,0.0,0.0	0.0,0.211,0.0,0.0	0.008
0.0,0.0,0.0,0.0	0.0,0.243,0.0,0.0	-0.061
0.0,0.0,0.0,0.0	0.0,0.366,0.0,0.0	-0.091
0.127,0.445,0.0,0.186	0.0,0.0,0.286,0.151	0.08
0.118,0.286,0.0,0.391	0.0,0.0,0.286,0.0	0.127
0.278,1.0,0.0,0.434	0.0,0.0,0.697,0.0	0.254
0.59,0.642,0.31,0.418	0.618,0.642,0.834,0.716	-0.212
0.742,1.0,0.235,0.545	0.519,0.626,0.852,0.782	-0.064
