"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","PREECLAMPSIA","CONTROL","log2fold_CONTROL_PREECLAMPSIA","-log10padj","regulation"
"233","P4htm","E007",13.9096008147964,0.00403270682999771,12.5027632798094,0.0004063505454204,0.00681172162132665,5.35790578059516,7.67926829218811,1.04031228530979,2.16674310891732,"included exon"
"234","Pals1","E008",12.9674112464777,0.0650110949248793,6.69470455312901,0.00966996918486754,0.0729807186716249,7.53085389863128,4.9759330803123,-1.19750144254287,1.13679186427112,"skipped exon"
"235","Papola","E035",14.1392557434416,0.00645919303487955,10.9237122598473,0.00094941173164845,0.0132036670503673,5.52660612752811,7.81797998738949,1.00253490493554,1.87930543556949,"included exon"
"236","Pcdhgb5+gene-Pcdhga8+gene-Pcdhga10+gene-Pcdhgb1+gene-Pcdha6+gene-Pcdhga5+gene-Pcdhac2+gene-Pcdhgb2+gene-Pcdhgc5+gene-Pcdhac1+gene-Pcdha4b+gene-Pcdha12+gene-Pcdhga1+gene-Pcdha8+gene-Pcdhgb4+gene-Pcdhga12+gene-Gm38666+gene-Pcdha7+gene-Pcdhga7+gene-Pcdha4+gene-Pcdhga9+gene-Pcdha2+gene-Pcdhga6+gene-Gm38667+gene-Pcdha11+gene-Pcdhgc4+gene-Pcdha3+gene-Pcdhgb7+gene-Pcdha10+gene-Pcdhga4+gene-Pcdhgc3+gene-Pcdha1+gene-Pcdhgb8+gene-Pcdhgb6+gene-Pcdhga3+gene-Pcdha5+gene-Pcdha9+gene-Pcdhga11+gene-Pcdhga2","E050",16.8612740602345,0.00308482233200797,25.6615183920191,4.06859737876813e-07,2.08645889385977e-05,5.39484819723845,8.80107808783748,1.41493254860298,4.68059016707292,"included exon"
"237","Pde4b","E022",16.9889387690597,0.0404804926833692,7.60418387445242,0.00582330160384169,0.0507174281627205,8.43108190434663,5.86224164927796,-1.0506087966683,1.29484277726863,"skipped exon"
"238","Pdzd2","E020",12.5278698133205,0.0560823655443631,6.16098575389523,0.0130598407420999,0.0896953139043589,7.23293117167248,4.99900856072674,-1.06742357525138,1.04723024590396,"skipped exon"
"239","Pigp","E009",10.8177414463267,0.0267191231734129,10.538342090366,0.00116923257161981,0.015418991018194,7.13851312153014,4.5819863373211,-1.28099701459937,1.81194404454496,"skipped exon"
"240","Pkd1","E019",31.2403549724581,0.00649231335128187,22.8812526743318,1.72324430092636e-06,7.29382652102998e-05,11.6047675692553,8.10534276154829,-1.03944739692068,4.13704457031417,"skipped exon"
"241","Plec","E015",11.4982470955974,0.0273729451681211,15.1558879281284,9.89891376987575e-05,0.00219453704112331,7.20629325172416,4.23723626811653,-1.53419084401491,2.65865708439308,"skipped exon"
"242","Plekha7","E002",10.1350763153923,0.0241641923824324,7.14996919332111,0.00749652744810323,0.0608258857334533,4.61320480389452,6.67409047322479,1.06692058108102,1.21591155824835,"included exon"
"243","Plxnb1","E010",11.181680611033,0.039890742544775,6.14460364102499,0.0131813706251223,0.0902433363378383,7.09292939426086,4.91845926136074,-1.05782869761563,1.04458485699628,"skipped exon"
"244","Ppcdc","E017",12.0590915584045,0.0170287397500206,13.274465563819,0.00026904557406001,0.00491673690723069,7.50665923395752,4.81899747154858,-1.28075102317675,2.30832303002484,"skipped exon"
"245","Ppp1r26","E003",13.7836480283582,0.0398935902648846,8.69740271552286,0.00318663786513901,0.0326082498220828,7.72723582137206,5.10402946298575,-1.19853672431095,1.48667251039397,"skipped exon"
"246","Ppp1r26","E004",11.1511076882555,0.01891535869936,14.731452583359,0.00012396099273531,0.00263934749754102,7.12949584508908,4.26826794825882,-1.48214464627678,2.57850342663131,"skipped exon"
"247","Ppp4r3b","E002",15.7493540903875,0.0216344875398898,11.3368188978498,0.00075985373107043,0.0111289221609002,8.31922598348649,5.56379669598562,-1.1629243351863,1.95354689516578,"skipped exon"
"248","Prdm15","E035",11.0857858995706,0.0137773662894157,11.1073200660315,0.00085987653446286,0.0122271426611377,7.02670096646682,4.68793477753758,-1.16934088035493,1.9126750205994,"skipped exon"
"249","Prdm16","E019",11.5403450594749,0.00438035968148769,13.5234417424345,0.00023560193443521,0.00442671485332374,7.16950570213749,4.8867838601314,-1.10753454848345,2.35391845218344,"skipped exon"
"250","Prkd1","E027",14.0570628003018,0.00424782733065105,11.6613778235691,0.00063811063349469,0.00971506455004673,5.28999155409628,7.53768760989061,1.02334518143218,2.01255430946091,"included exon"
"251","Prkdc","E041",12.5215151630396,0.00498658723208008,13.02617298148,0.00030716762166671,0.00544882316394966,7.34743553123099,4.91716352447463,-1.16051608234782,2.26369728645579,"skipped exon"
"252","Psd2","E016",23.8665540544274,0.0192022905007336,21.6836616175779,3.21518068343506e-06,0.00012535015256782,10.5396099306751,6.4422667026106,-1.4242997597718,3.90187513311125,"skipped exon"
"253","Psd3","E013",15.2899497855355,0.0296715144627177,10.0238704662754,0.00154524409234796,0.0190067679806525,7.86364599123328,5.43550370747914,-1.06739705714204,1.72109172676967,"skipped exon"
"254","Ptpn13","E011",11.0024081762516,0.0160442399701467,12.7279608443849,0.0003602290987242,0.00618475221701266,7.23936871298167,4.60403516746692,-1.30769680783181,2.20867769505502,"skipped exon"
"255","Ptprt","E044",43.1480968401855,0.0424595276126455,17.9169396429148,2.3075804973185e-05,0.00066388929538587,8.7414280370088,15.0682804698328,1.57966715393835,3.17790433390215,"included exon"
