"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ogdh",1832.28974385339,-0.207235323221373,0.0454579729292008,-4.55883335458303,5.14385662131393e-06,0.000115246882872772
"Chd4",6008.12886958402,-0.248449213958788,0.0545130857550118,-4.55760686664021,5.17397663660628e-06,0.000115724903583448
"Hnrnpl",4612.31326980453,-0.199715688808945,0.0438644028102977,-4.55302422952534,5.28801800213968e-06,0.000117875379289658
"Zfyve16",559.186073690752,0.344426134416026,0.0756428516046346,4.55332033509593,5.28057710719161e-06,0.000117875379289658
"Clvs1",903.010632983674,0.28336771170503,0.0622761634017643,4.55017933389587,5.360021366568e-06,0.000119192299101324
"Smarca4",8024.09760307795,-0.219757353674388,0.0482985692867061,-4.54997646762334,5.36519154145174e-06,0.000119192299101324
"Nrxn2",5286.865102804,0.205259583048976,0.0451162698099152,4.5495690116621,5.37559024279702e-06,0.000119222265755232
"Fbrsl1",1452.82274163627,-0.250939907271227,0.0551883185322915,-4.54697504734445,5.44224476055192e-06,0.000120497701639514
"Sppl3",1663.47525550442,-0.225426755268825,0.0496069691131756,-4.54425576282489,5.51296871681559e-06,0.000121858808515652
"Cadps",2300.8366530242,0.224109410098875,0.0493486427225043,4.54134901660984,5.58954088406937e-06,0.000123138146499548
"Vps37b",1055.74020561186,-0.382221590507238,0.0841611817649281,-4.54154257927161,5.5844103986282e-06,0.000123138146499548
"2610005L07Rik",1157.48373759667,0.341705125982869,0.0752588268512335,4.54039931632641,5.61477866233581e-06,0.000123487636223058
"Cep295",1097.27394206221,0.286665359806016,0.0631713333664617,4.53790262971099,5.68164816629334e-06,0.000124750054904581
"Gpr22",219.194378399289,0.535114809423286,0.117957972015177,4.53648702399219,5.71990070393433e-06,0.000125380984814694
"Cdc42se1",771.193382438248,-0.358683551215127,0.0790931848312812,-4.53494889578992,5.76174345848727e-06,0.000126088385917128
"Ttf2",117.301518755162,-0.644404324236617,0.142245432324721,-4.53022858945347,5.89199020406837e-06,0.000128724840710442
"Erc1",2887.79951550754,0.205798669119786,0.0454387823538149,4.52914137349255,5.92238639843987e-06,0.000128896784507125
"Rfx3",2098.21423914066,0.293991176396627,0.0649137396237772,4.52895146852611,5.92771110169994e-06,0.000128896784507125
"Tle3",2111.14555358431,-0.221953820786532,0.0490083512553363,-4.52889793476504,5.92921295060863e-06,0.000128896784507125
"Heatr5b",1138.58828964846,0.264472175227139,0.0584516007826742,4.52463528262397,6.0499744513583e-06,0.000131305376313335
"Acvr2a",2804.100036971,0.270840689871972,0.0599117059726022,4.52066395832274,6.16459783291181e-06,0.000133573045807204
"Dcakd",1746.39173140897,-0.301034850247883,0.0666516419439536,-4.51654065028164,6.28580550012134e-06,0.000135975700588832
"Ankrd13b",3793.38984883256,-0.194227818939191,0.0430374793799059,-4.51299243677072,6.39193023457175e-06,0.00013804473591844
"Carm1",1594.2279578804,-0.243963003788903,0.054063928449775,-4.5124912447963,6.40705803105698e-06,0.000138144979543608
"Chtf18",87.5851755055389,-0.782683425627259,0.173468046204198,-4.51197464175001,6.4226868386501e-06,0.00013825568041238
"Cntn4",113.90148615073,0.707272669888823,0.156790943328937,4.51092808597375,6.45446019041555e-06,0.000138712982950301
"Tgs1",974.759773738097,0.27772709061136,0.0615927203312303,4.50908953392239,6.51064298307588e-06,0.000139692525503325
"Slc44a2",799.293718044227,-0.277468646595064,0.0615470622722566,-4.50823542751184,6.53690179486375e-06,0.000140027876822008
"Plcxd2",923.712631819967,0.292677952838814,0.0649349151174419,4.50725087280816,6.56729685240204e-06,0.000140222963911742
"Rpl37",1051.69944018071,0.275549109226566,0.0611303163972749,4.50756883762587,6.55746592821452e-06,0.000140222963911742
"Tasor2",2146.91284363112,0.310446714828959,0.068894844996923,4.50609497478113,6.60315416105105e-06,0.000140760441614379
"Matr3",13080.752394423,0.144309296826645,0.0320732572505751,4.499365178261,6.81566891478278e-06,0.000145055932606379
"Elfn2",1334.52382720384,0.256715819510628,0.0570751594796662,4.49785549179388,6.86423257653147e-06,0.000145853870908428
"Cntnap3",330.185570662298,0.407900478118957,0.0907482423335984,4.49485816617229,6.96163338038814e-06,0.000147685278829683
"Hnrnpdl",6444.62039075478,-0.175078286674646,0.0389812620914975,-4.4913447456806,7.07748830862644e-06,0.000149901657520651
"Adarb2",489.653359130482,0.421645219978423,0.0939030193895208,4.49022004531493,7.11496329244684e-06,0.000150453493442528
"Fbln1",495.011719583729,-0.394404647697294,0.0878847224079581,-4.48774982603325,7.19793818998794e-06,0.000151964163004649
"Fam53b",413.147686029367,-0.454355806544519,0.101311565908893,-4.48473777370206,7.30036581006409e-06,0.000153880030690855
"Hunk",1089.66855790352,-0.27499337764823,0.061331433024376,-4.48372659968559,7.3350631462017e-06,0.000154364411961759
"B3galt1",1009.18890998166,0.2735218188325,0.0610196178792589,4.48252264335258,7.37658127833644e-06,0.000154990561022016
"Zfp738",438.885654545884,0.400992334434634,0.0894774741027617,4.48148920670367,7.41239823028311e-06,0.00015549511828941
"Zmym2",2861.5128762032,0.266313511391893,0.0594299567142057,4.4811325149129,7.42479905016084e-06,0.000155507635432144
"Mfap1b",859.87649447163,0.291464803716931,0.0650759028089204,4.47884379833726,7.50484234221442e-06,0.000156934592089417
"Nell1",169.410102561806,0.564215716855764,0.12605738503054,4.47586404175424,7.61029043314194e-06,0.000158887426570859
"Tfap2c",156.661328483859,-0.753645094940286,0.168425402762647,-4.47465217584996,7.65358010325269e-06,0.000159538392848498
"Zmiz2",6368.17143193607,-0.203034062777492,0.0453792425064294,-4.47416156734494,7.6711722423211e-06,0.000159652485182209
"Abcf1",1565.95190181144,-0.259398738944028,0.057981997143705,-4.47378068577257,7.68485646737895e-06,0.000159685014355284
"Chd9",1821.79151431656,0.231336218596748,0.0517202264987262,4.47283846683164,7.71880864574065e-06,0.000160137929289744
"Oprm1",38.480123904546,1.40933381821609,0.31528317089708,4.47005723206249,7.81986692598801e-06,0.000161979444784538
"Snrnp200",3407.99976304903,0.217900793838842,0.0487594526753792,4.46889335057836,7.86253180656483e-06,0.000162607525933572
"5930403L14Rik",370.118127968295,-0.51020113760887,0.114215691062991,-4.46699689736578,7.93252798473444e-06,0.000163797999484156
"Sfrp1",1378.03129416759,-0.276831712704988,0.0620082977146549,-4.46443013125261,8.02821404185009e-06,0.000165514384643714
"Frmd4b",2071.81713096057,-0.246637246754917,0.055276881033909,-4.46185172067904,8.12544451149255e-06,0.000167257196866254
"Ciz1",805.030193738694,-0.289964511952408,0.0649981040969616,-4.46112261243574,8.15314230295105e-06,0.000167565517471259
"Klf3",499.49425530889,-0.332573317132977,0.0746012545315305,-4.45801239163363,8.27231210532604e-06,0.000169749906036706
"Usp32",1818.43966167356,0.260720004213004,0.0585092742458386,4.45604577348775,8.34852140623199e-06,0.000171047311050856
"Gpc4",417.898753020295,-0.444877498774293,0.099878088925945,-4.45420515709055,8.42045554234963e-06,0.000171986172581262
"Zfp169",669.477263394413,0.399973058564617,0.0897933285112397,4.45437389610244,8.41383637510463e-06,0.000171986172581262
"Vps13c",1162.04981328893,0.252882676993667,0.0567814711115846,4.4536126317811,8.44373812535172e-06,0.000172194746228148
"Pbx3",1072.76261390163,0.293449408189731,0.065926753304228,4.4511430258907,8.54144270209844e-06,0.000173918031155247
"Bclaf1",4148.24640350563,0.182665689421145,0.0410447858463831,4.45039937849356,8.57107453462071e-06,0.000174252061603539
"Zhx3",447.627791254052,0.345543342403677,0.0776613451300231,4.44936077047284,8.6126240179686e-06,0.000174826978139782
"Mcm6",783.066790540728,-0.33355682855143,0.074992600130026,-4.44786322881315,8.67287214405335e-06,0.000175779104039629
"Arcn1",2263.29938753549,0.203226701895752,0.0457030528914931,4.44667673247665,8.72089225377276e-06,0.000176480851845165
"Gm57643",137.177873712831,0.830868171411219,0.186908362631532,4.44532368543177,8.77596311969814e-06,0.000177322911255987
"Farsb",1061.11527765602,0.261421935760975,0.058824391277858,4.44410779409759,8.82573493038019e-06,0.000178055485410151
"Nalcn",634.497733557857,0.410672348824358,0.0924398000104476,4.44259235500232,8.88814622641553e-06,0.000179040425667887
"Clasp2",6512.09834221925,0.204795109953254,0.0461040691166408,4.4420181098361,8.91190573278841e-06,0.000179244955914129
"Frmd3",667.864204164096,0.39741449120414,0.0895039873523569,4.44018755990846,8.98805085735121e-06,0.000180500887187111
"Acin1",4136.61807432504,-0.176939547462481,0.0398632570584762,-4.43866258100597,9.05195946872387e-06,0.000181507631721413
"Syn3",2801.85185849653,0.236402887644549,0.0533353544276986,4.43238617575921,9.31959042538355e-06,0.000186590097665658
"2810408A11Rik",172.008493253804,-0.561660712415865,0.127085710772205,-4.41954259847999,9.89100240459867e-06,0.000197729993441856
"Gns",998.031474036634,-0.279060558191546,0.0631589603050171,-4.41838429327942,9.94414927261588e-06,0.000198491246238548
