ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4037	75,82,76,100	0,0,0,0	74,52,67,51	0,0,1,0	143	39	0.125476122483031	0.525744060301705	1.0,1.0,1.0,1.0	1.0,1.0,0.948,1.0	0.013
4038	932,936,880,876	8,7,6,8	850,782,805,906	6,9,4,16	1756	39	0.518320669335942	0.836294934955573	0.721,0.748,0.765,0.709	0.759,0.659,0.817,0.557	0.038
4044	3,13,12,11	1,1,0,1	18,7,1,16	0,0,1,1	483	39	0.610024578476325	0.895100597440723	0.195,0.512,1.0,0.47	1.0,1.0,0.075,0.564	-0.116
4050	39,26,33,39	32,21,16,29	60,46,35,59	17,19,21,35	488	39	0.0422990320460476	0.41556943764538	0.089,0.09,0.142,0.097	0.22,0.162,0.118,0.119	-0.05
4051	552,443,508,454	1,0,0,0	745,623,656,743	0,1,0,0	2200	39	0.999202115572178	0.999202115572178	0.907,1.0,1.0,1.0	1.0,0.917,1.0,1.0	-0.002
4057	65,64,64,23	2,6,5,1	39,42,58,47	5,4,4,0	144	39	0.890902863865758	0.999202115572178	0.898,0.743,0.776,0.862	0.679,0.74,0.797,1.0	0.016
4058	2,1,3,0	0,1,0,0	7,7,4,2	0,0,0,0	166	39	0.162290669471574	0.573186303994204	1.0,0.19,1.0,NA	1.0,1.0,1.0,1.0	-0.27
4059	442,548,672,423	4,1,6,4	524,463,411,535	5,4,6,4	1454	39	0.366376043374083	0.735905969474485	0.748,0.936,0.75,0.739	0.738,0.756,0.648,0.782	0.062
4060	45,64,50,38	30,36,31,33	57,62,75,70	44,38,24,44	140	39	0.409672781110179	0.764722524739001	0.295,0.331,0.31,0.243	0.265,0.312,0.465,0.307	-0.043
4061	405,495,471,320	70,49,61,46	479,506,388,418	50,64,61,63	2393	39	0.963211275623518	0.999202115572178	0.086,0.141,0.112,0.102	0.135,0.114,0.094,0.098	0.0
4062	7,9,7,4	52,41,65,56	1,6,14,13	78,48,62,74	114	39	0.729516741427453	0.967827459638387	0.044,0.07,0.036,0.024	0.004,0.041,0.072,0.057	0.0
4063	51,64,58,50	1,2,0,1	62,82,45,38	1,1,1,0	422	39	0.749422636671036	0.974632318940502	0.825,0.747,1.0,0.822	0.851,0.883,0.806,1.0	-0.036
4064	50,64,58,50	0,2,1,1	62,82,45,38	1,0,0,1	419	39	0.407048247649555	0.761346087788079	1.0,0.749,0.844,0.823	0.852,1.0,1.0,0.78	-0.054
4065	12,22,28,18	2,0,0,0	24,20,9,21	4,0,0,2	111	39	0.338086957414792	0.719338810828163	0.678,1.0,1.0,1.0	0.678,1.0,1.0,0.787	0.053
4066	1030,1288,1250,1148	166,152,131,130	1269,1195,1339,1272	151,145,143,185	2761	39	0.999202115572178	0.999202115572178	0.081,0.107,0.119,0.111	0.106,0.104,0.117,0.089	0.0
4071	16,6,6,3	0,2,0,0	13,4,6,14	0,0,0,0	2606	39	0.344425315400271	0.720996975588492	1.0,0.043,1.0,1.0	1.0,1.0,1.0,1.0	-0.239
4072	29,3,19,8	0,0,1,0	11,32,29,13	0,2,0,0	772	39	0.858767318154011	0.999202115572178	1.0,1.0,0.49,1.0	1.0,0.447,1.0,1.0	0.011
4073	293,313,372,241	16,20,14,17	215,229,226,237	12,11,8,4	1693	39	0.116614324387063	0.511998976167892	0.297,0.265,0.38,0.246	0.292,0.324,0.394,0.577	-0.1
4074	4,2,2,3	0,1,1,0	3,2,5,3	0,0,1,0	340	39	0.651957667449857	0.919479097735504	1.0,0.187,0.187,1.0	1.0,1.0,0.364,1.0	-0.247
4076	6,3,7,2	0,0,0,0	1,5,8,5	0,0,1,0	123	39	0.103183476760802	0.489502965155391	1.0,1.0,1.0,1.0	1.0,1.0,0.717,1.0	0.071
4077	18,17,19,19	0,1,0,1	13,11,15,13	0,0,0,0	125	39	0.152654772577127	0.558169123569456	1.0,0.841,1.0,0.856	1.0,1.0,1.0,1.0	-0.076
4078	0,3,1,3	1,0,0,0	1,8,4,3	0,1,2,0	153	39	0.840676267909103	0.999202115572178	0.0,1.0,1.0,1.0	1.0,0.671,0.338,1.0	-0.002
4079	100,82,116,87	0,0,3,0	62,78,48,67	0,1,0,2	136	39	0.357754676699751	0.729672355770611	1.0,1.0,0.917,1.0	1.0,0.957,1.0,0.906	0.013
