IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
72,139,160,89	26,31,15,16	127,102,94,88	41,26,29,33	806	39
5,3,20,7	0,0,0,0	9,10,4,11	0,0,0,1	370	39
7,3,20,9	4,3,3,3	10,12,4,12	5,7,3,3	423	39
27,10,4,14	2,2,2,5	11,4,13,10	0,0,2,1	121	39
27,10,4,14	0,0,0,2	11,4,11,10	0,0,0,0	124	39
77,73,77,72	49,32,49,37	89,96,109,82	55,41,50,54	143	39
590,522,510,577	244,183,205,221	719,540,648,651	260,222,289,310	223	39
26,37,36,28	0,0,0,1	25,44,37,29	0,0,0,1	181	39
26,34,36,28	7,7,3,6	25,39,35,27	1,7,3,1	131	39
17,18,52,20	0,1,0,0	25,27,23,34	0,0,0,0	112	39
128,158,138,133	0,0,0,1	107,139,128,177	0,0,2,0	1112	39
118,148,108,122	14,15,16,10	89,124,115,152	6,10,14,11	979	39
56,40,27,47	71,27,53,47	44,60,60,77	88,75,94,98	231	39
100,131,144,102	2,1,2,2	108,82,81,114	1,1,5,0	824	39
202,163,157,194	16,6,12,3	243,197,197,213	12,7,12,11	120	39
31,49,51,32	0,0,2,0	42,42,18,35	3,0,1,0	2246	39
0,1,1,2	2,0,0,2	2,2,0,0	2,0,0,0	175	39
61,106,58,55	0,0,0,0	83,93,92,85	0,0,0,1	1061	39
28,21,27,21	1,4,6,3	23,24,19,19	6,2,2,1	229	39
31,24,12,22	0,0,1,0	17,11,24,26	4,0,0,2	987	39
32,24,12,22	1,0,0,0	19,11,24,27	0,0,0,0	1042	39
2165,2805,2419,2007	15,11,14,14	2373,2311,2469,2471	18,22,21,17	1047	39
2310,3017,2603,2138	175,140,190,157	2526,2442,2646,2613	205,140,146,185	1118	39
170,239,245,174	14,10,8,5	320,278,255,265	11,13,12,9	290	39
6,10,30,7	0,0,0,1	17,25,7,12	1,0,0,0	2064	39
10,23,7,4	4,0,1,1	12,12,24,14	2,4,2,1	706	39
9,23,7,4	0,0,0,0	12,12,20,14	1,1,0,0	691	39
27,67,49,36	1,8,0,1	57,71,55,67	0,1,1,1	284	39
198,369,322,214	1,0,0,2	337,239,326,252	1,1,2,1	1540	39
48,40,39,39	26,27,41,23	40,28,32,26	49,23,41,42	249	39
49,40,39,40	2,1,1,2	40,28,32,26	3,0,4,2	289	39
0,1,1,1	0,1,1,0	0,3,1,1	0,3,1,0	154	39
0,1,1,1	3,2,2,5	0,3,1,1	3,0,1,5	157	39
684,745,712,729	1,2,0,4	704,610,773,745	2,3,0,0	2539	39
7,5,6,5	3,1,1,4	1,2,0,3	1,5,3,2	631	39
1,16,4,6	0,0,0,0	8,5,3,2	0,0,0,1	670	39
130,193,190,149	41,39,35,30	145,144,175,135	39,29,47,47	176	39
254,311,293,221	60,67,77,67	296,257,268,296	87,46,96,86	530	39
606,603,493,553	255,248,193,258	558,402,570,576	252,234,258,247	411	39
58,97,63,85	782,745,596,743	88,58,79,68	752,754,805,783	376	39
85,106,97,94	2,4,1,3	97,85,132,120	1,1,3,1	448	39
29,32,17,30	29,33,24,22	12,17,7,9	36,17,25,18	254	39
43,65,35,45	3,0,0,3	58,38,37,51	2,1,2,0	117	39
23,40,35,36	62,52,58,59	68,57,49,50	79,77,81,68	581	39
22,57,51,33	2,1,0,1	84,42,50,41	0,6,3,1	584	39
30,51,32,25	64,48,68,55	34,40,40,47	72,75,64,77	567	39
15,33,21,30	2,3,1,0	32,37,31,35	3,1,0,0	202	39
20,43,38,36	0,0,0,3	36,52,38,39	3,0,0,0	284	39
4,2,0,1	1,0,0,0	0,0,1,1	0,0,2,0	114	39
75,125,135,121	17,20,13,17	100,85,104,94	39,19,25,22	1527	39
40,104,55,50	0,0,0,0	39,63,50,64	0,0,2,3	379	39
73,33,49,56	2,0,5,1	45,59,40,57	2,2,0,4	185	39
6,10,21,17	0,1,0,0	7,7,7,9	0,1,0,0	855	39
3,8,0,2	0,0,0,1	1,4,3,6	1,1,0,0	123	39
1,1,0,9	0,0,0,0	2,3,4,0	1,0,0,0	1119	39
21,24,22,20	8,6,10,6	38,28,36,30	9,5,8,3	2754	39
14,15,5,5	0,0,0,2	13,9,13,8	0,1,1,0	116	39
191,352,276,238	99,122,127,121	316,256,275,292	141,122,142,177	317	39
193,227,170,203	15,6,19,12	201,206,199,155	6,23,8,12	572	39
788,850,851,839	1,1,0,1	1031,926,910,900	5,0,3,0	3014	39
22,16,39,36	55,30,52,59	38,32,24,34	41,48,50,45	144	39
250,228,220,227	8,5,1,2	150,185,195,242	7,4,3,0	168	39
404,311,316,358	27,23,17,16	258,279,326,356	12,10,9,20	261	39
11,41,11,1	1,0,0,2	14,10,7,26	0,0,0,0	1137	39
97,71,81,72	0,0,2,0	58,55,75,64	1,0,0,0	95	39
0,0,0,0	2,0,1,0	2,0,0,0	0,0,0,0	558	39
32,43,54,37	9,4,4,6	66,53,91,69	6,6,12,4	791	39
193,228,246,237	3,4,2,0	248,227,215,182	2,1,0,0	362	39
97,111,102,110	6,1,1,0	107,107,112,88	7,3,1,2	113	39
626,706,767,676	0,0,0,2	685,587,656,709	2,1,0,0	1279	39
476,527,567,494	18,24,17,13	488,399,504,561	14,14,7,18	904	39
145,176,179,167	39,26,36,25	148,132,130,157	32,29,22,32	218	39
27,30,54,23	2,11,11,9	41,27,30,47	3,9,4,9	384	39
21,35,52,29	12,4,8,1	36,22,21,36	7,5,9,10	395	39
1,3,4,8	3,1,0,0	4,10,1,7	1,0,1,3	276	39
67,46,69,61	53,48,53,44	57,37,63,78	38,35,41,56	108	39
98,91,113,92	0,4,3,0	125,108,128,123	2,2,0,0	134	39
1,3,8,1	6,0,1,3	6,1,4,11	2,4,0,1	126	39
6,10,7,5	0,1,3,0	4,7,3,15	1,0,1,0	217	39
240,391,406,285	2,1,5,0	262,194,252,212	0,0,0,1	2484	39
228,380,403,282	2,2,3,3	261,190,248,206	1,3,1,2	2467	39
64,39,71,48	0,0,0,0	69,50,43,71	1,0,0,0	603	39
52,30,68,60	56,36,52,49	92,59,72,45	41,44,34,33	1721	39
63,66,56,62	11,3,3,3	64,59,59,45	4,5,10,5	178	39
63,66,57,62	1,2,4,1	64,59,60,45	2,1,0,1	181	39
3,1,8,9	0,0,2,1	10,5,16,5	1,1,2,1	139	39
44,64,97,63	4,10,4,7	74,77,95,75	6,3,4,5	187	39
19,33,41,27	53,45,43,36	44,36,44,37	40,51,54,64	117	39
20,18,34,24	18,17,19,19	16,23,37,20	24,8,25,13	121	39
527,664,554,504	92,129,100,101	588,526,594,617	119,136,118,114	272	39
1010,1286,1065,952	0,1,4,2	1120,1087,1191,1257	0,0,0,0	581	39
462,597,487,425	4,7,1,5	487,541,556,613	7,10,5,6	188	39
1063,1349,1128,1001	10,12,7,17	1189,1163,1256,1325	20,9,17,25	635	39
515,660,550,474	76,38,50,42	556,617,621,681	65,82,77,67	242	39
0,0,3,1	0,0,0,0	3,1,0,2	1,0,0,0	197	39
19,18,12,18	0,0,0,1	27,12,8,14	0,0,0,0	285	39
34,54,47,31	113,76,83,111	55,44,41,28	95,98,106,83	113	39
0,1,0,3	0,0,0,1	0,2,0,2	0,0,0,1	148	39
0,1,0,3	0,0,0,1	0,2,0,2	2,0,0,1	151	39
0,0,0,0	0,0,2,1	0,0,5,0	0,0,3,1	182	39
6,6,4,12	0,0,1,0	2,9,6,10	0,0,1,0	1244	39
4,4,2,11	0,0,0,0	2,8,4,6	0,1,0,0	1012	39
134,181,156,177	5,2,10,8	149,112,121,154	2,5,3,2	330	39
366,410,354,299	7,11,7,12	390,281,395,456	17,6,6,13	1332	39
580,721,712,520	16,9,1,6	541,604,663,634	10,6,6,5	1825	39
1622,1985,1752,1467	40,20,34,25	1546,1615,1884,1762	41,31,19,43	3988	39
1059,1285,1058,974	7,7,4,6	1026,1022,1239,1143	9,8,7,3	2113	39
47,51,47,53	20,16,19,21	55,70,48,46	31,25,25,25	285	39
49,54,48,59	1,0,0,1	58,75,51,50	2,0,0,0	415	39
2,0,0,0	2,1,0,1	0,0,0,0	0,1,1,2	121	39
76,122,121,116	2,3,1,6	104,72,90,107	2,1,4,3	2296	39
