IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0,2,0	9,8,11,6	6,1,0,0	10,5,20,8	298	149
18,11,11,8	0,5,1,2	12,15,12,6	4,4,5,0	185	149
58,49,53,49	10,10,7,5	75,56,50,36	10,4,4,8	185	149
155,151,179,168	1,0,0,2	169,139,164,155	1,0,0,1	287	149
532,524,637,616	4,9,6,13	597,506,576,544	9,8,5,8	287	149
0,3,1,1	17,8,27,26	0,0,0,2	20,14,21,7	298	149
16,7,12,7	79,70,89,85	13,11,10,11	107,105,104,132	159	149
67,76,53,53	5,4,7,5	64,53,59,48	1,7,1,5	194	149
2,2,6,3	0,0,0,0	2,4,1,3	1,0,0,0	266	149
3,2,6,4	0,0,4,0	1,3,1,3	0,3,0,0	266	149
0,2,2,0	1,0,0,0	0,0,1,1	0,0,0,0	158	149
1,2,6,1	4,4,2,4	0,4,2,1	4,5,3,3	216	149
2,0,4,1	4,4,2,4	0,4,1,0	4,5,3,3	207	149
4,12,8,3	0,2,0,2	5,6,6,7	0,0,1,0	238	149
4,12,8,3	60,60,63,46	5,7,7,7	63,56,53,51	266	149
0,2,0,2	60,60,63,46	0,1,2,0	63,56,53,51	177	149
100,92,101,86	0,0,0,1	97,73,88,108	0,2,1,0	298	149
50,39,53,37	1,0,0,0	60,41,47,62	0,0,0,0	298	149
1,0,0,0	506,528,625,573	0,4,0,0	474,400,443,455	159	149
3,4,2,3	32,46,57,44	1,8,2,2	48,46,49,47	257	149
1,2,5,4	0,7,4,7	0,3,1,1	1,5,1,0	161	149
1,0,0,0	27,40,30,24	1,0,2,1	30,25,43,25	167	149
5,7,9,2	132,142,153,137	4,6,2,6	136,125,123,135	181	149
0,1,1,1	83,85,98,77	3,2,1,0	87,62,91,104	202	149
2,4,5,6	79,95,89,91	1,2,3,2	81,66,109,108	158	149
69,66,68,76	4,9,8,5	87,56,70,76	9,13,6,8	217	149
48,53,51,59	3,2,6,3	69,49,55,52	8,1,5,3	217	149
48,54,51,58	3,0,0,2	69,50,55,57	3,2,2,1	217	149
46,51,50,56	1,0,0,1	67,46,49,51	0,0,0,2	217	149
17,13,22,13	77,65,60,52	16,11,16,24	89,82,98,80	298	149
6,3,10,3	0,0,0,0	8,6,5,10	0,0,1,0	298	149
19,22,17,12	82,75,108,72	11,24,23,25	116,70,86,90	298	149
1,1,0,0	9,3,5,5	0,0,0,0	4,0,5,0	153	149
2,0,2,4	0,0,1,0	1,1,3,4	0,0,0,0	152	149
3,5,2,4	46,36,52,43	8,2,1,2	59,63,46,46	172	149
38,33,35,27	16,35,18,22	27,10,26,18	24,23,15,22	191	149
0,1,0,0	0,2,3,1	0,0,1,0	1,2,0,1	153	149
0,1,0,0	271,305,288,267	0,0,1,0	311,276,294,316	153	149
333,356,343,314	6,5,6,11	335,293,296,337	12,8,11,6	160	149
1,2,0,2	0,2,5,2	2,0,1,1	4,1,3,1	153	149
1,2,0,2	280,305,288,260	2,0,1,1	311,258,321,319	153	149
36,29,60,47	159,166,152,128	49,28,67,43	181,155,186,165	298	149
3,5,0,1	6,11,10,12	2,3,4,0	6,7,11,19	298	149
10,6,22,14	1,5,4,4	14,8,21,13	3,4,0,4	298	149
0,4,0,2	9,9,4,3	0,0,0,1	10,12,13,16	298	149
13,20,19,15	549,649,731,665	16,12,21,22	613,636,659,701	254	149
50,55,59,38	2,1,1,2	76,55,78,48	1,1,3,0	202	149
7,10,9,16	20,20,19,19	8,12,7,13	14,23,25,28	216	149
13,9,13,11	0,0,1,0	24,14,12,13	0,2,5,0	298	149
8,4,7,7	2,2,2,2	15,8,0,4	1,3,4,1	298	149
8,4,7,8	1,3,1,4	15,8,0,4	1,2,2,1	298	149
5,2,5,5	2,2,2,2	8,8,0,1	1,3,4,1	234	149
5,2,5,6	1,3,1,4	8,8,0,1	1,2,2,1	238	149
2,2,2,3	1,3,1,4	1,3,4,1	1,2,2,1	153	149
4,5,5,2	7,16,5,13	1,1,2,5	12,6,8,6	298	149
4,5,5,2	18,14,14,7	2,1,1,5	15,15,15,14	298	149
2,3,1,2	0,3,0,0	0,2,5,2	0,0,0,0	298	149
1,0,0,1	0,3,0,0	0,1,3,0	0,0,0,0	243	149
5,8,7,7	2,0,0,2	3,6,3,3	1,0,2,0	298	149
5,7,7,3	0,0,0,0	1,6,2,3	1,0,0,1	298	149
3,2,1,2	0,0,0,0	1,0,2,0	1,0,0,1	177	149
0,0,2,3	90,96,109,112	2,1,1,0	94,103,98,105	186	149
0,0,2,0	0,2,2,0	0,2,0,0	0,0,0,1	298	149
17,26,9,8	110,114,121,102	9,12,13,4	133,80,88,115	207	149
17,18,15,13	107,92,119,112	12,13,10,13	81,119,79,84	189	149
