IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
13,13,14,16	13,17,11,14	27,5,7,17	30,18,14,27	78	78
52,21,44,31	98,76,98,79	30,27,41,43	102,96,96,95	78	78
52,21,44,31	104,105,101,116	30,27,41,43	120,113,116,138	78	78
57,67,55,53	67,61,52,55	32,47,42,48	57,61,66,81	78	78
7,6,9,4	32,11,18,19	13,6,4,7	21,28,16,32	78	78
7,5,5,1	38,31,33,36	2,7,4,12	39,37,27,32	78	78
22,6,15,16	45,33,42,40	12,17,13,17	50,42,30,38	78	78
6,5,6,17	40,33,33,36	11,10,7,11	39,37,27,32	78	78
18,22,15,9	40,33,33,36	27,16,22,19	39,37,27,32	78	78
12,6,15,21	32,25,19,24	22,15,10,17	33,15,15,16	78	78
24,23,24,13	32,25,19,24	38,21,25,25	33,15,15,16	78	78
35,33,38,33	40,32,40,36	27,25,29,34	42,31,43,46	78	78
39,50,34,43	37,24,30,32	37,40,49,47	36,25,38,40	78	78
89,104,97,69	132,127,113,111	81,65,80,94	131,100,136,139	78	78
110,108,79,122	84,82,84,68	123,123,109,138	151,107,119,109	78	78
65,49,37,58	30,33,26,17	71,45,50,56	31,28,26,26	78	78
21,32,23,22	13,9,15,10	16,15,19,16	11,16,3,12	78	78
3,1,8,2	5,3,3,1	2,5,3,5	0,3,1,6	78	78
290,219,235,238	223,227,181,191	289,249,263,297	214,194,236,192	78	78
0,0,1,0	1,1,3,0	0,0,1,0	0,1,0,0	78	78
7,2,5,8	38,33,24,27	7,8,7,3	26,32,29,33	78	78
8,10,6,11	206,260,214,236	6,11,6,14	203,148,151,175	78	78
49,51,45,47	206,260,214,236	27,24,34,44	203,147,151,172	78	78
210,260,193,230	145,151,173,149	169,163,123,178	126,130,115,110	78	78
115,132,127,145	188,221,186,184	99,74,78,98	167,129,126,159	78	78
27,25,28,17	327,499,510,358	17,15,30,18	301,313,256,337	78	78
56,79,56,48	323,502,507,364	54,50,43,55	299,320,255,339	78	78
42,43,37,35	312,490,508,351	36,33,19,38	286,311,260,340	78	78
37,42,33,30	312,490,508,351	28,34,17,31	286,311,260,340	78	78
78,80,75,57	228,431,352,271	55,58,32,53	239,212,216,266	78	78
68,77,66,57	228,431,352,271	50,62,28,51	239,212,216,266	78	78
78,80,75,57	173,298,263,201	55,58,32,53	182,147,162,192	78	78
68,77,66,57	173,298,263,201	50,62,28,51	182,147,162,192	78	78
105,129,126,93	155,152,125,117	85,73,84,96	129,126,115,120	78	78
109,124,135,113	136,107,112,111	113,74,77,90	96,74,106,93	78	78
121,126,140,124	136,165,161,111	99,72,82,87	106,96,114,118	78	78
260,214,206,256	290,302,289,321	245,261,318,260	340,256,352,347	78	78
251,255,218,214	196,173,133,170	196,183,193,201	145,167,152,140	78	78
132,155,139,150	151,178,154,146	113,117,106,141	155,114,152,154	78	78
0,0,3,0	0,0,0,0	0,0,0,0	0,2,0,0	77	78
149,139,119,151	141,136,171,169	162,137,149,133	154,168,177,182	78	78
47,52,58,42	61,64,71,70	55,52,49,50	76,57,81,73	78	78
54,63,41,61	60,46,54,50	69,34,81,51	56,47,67,54	78	78
1,0,1,1	103,100,118,104	0,0,0,1	94,71,54,71	78	73
34,44,47,45	42,44,41,44	37,29,14,25	26,28,38,25	78	78
62,65,77,67	107,119,124,106	53,69,68,61	97,122,108,128	78	78
62,71,83,70	89,116,130,111	62,71,51,67	111,86,81,121	78	78
3,4,5,4	59,91,47,54	7,7,11,13	71,43,62,69	59	78
90,116,112,110	0,5,0,0	137,135,115,135	6,1,0,2	78	78
56,66,82,85	0,5,0,0	99,60,73,108	6,1,0,2	78	78
56,66,82,85	90,116,112,110	99,60,73,108	137,135,115,135	78	78
108,128,121,124	11,16,14,26	161,131,158,151	31,9,12,23	78	78
100,131,121,109	41,44,34,35	151,125,137,155	56,44,50,34	78	78
2,12,13,12	13,39,31,17	13,10,10,11	24,13,24,24	78	64
65,72,70,84	13,39,31,18	51,66,46,59	22,13,24,24	78	64
152,136,117,159	73,68,75,79	109,131,153,160	101,81,86,83	78	78
137,111,95,143	127,109,99,131	97,110,128,129	131,116,131,153	78	78
15,10,15,10	127,109,99,131	7,16,14,14	131,116,131,153	78	78
82,84,78,91	141,133,124,147	102,77,79,91	142,141,159,186	78	78
11,11,24,14	3,10,10,9	13,12,15,9	14,9,7,12	78	54
10,11,15,11	0,0,1,0	7,10,11,8	0,1,0,0	78	54
10,11,15,11	6,3,4,4	7,10,11,8	10,6,9,11	78	78
0,0,1,0	6,3,4,4	0,1,0,0	10,6,9,11	54	78
0,0,0,0	5,5,7,3	0,1,0,0	7,5,7,9	54	78
0,0,0,0	8,2,4,3	0,1,0,0	2,2,1,4	54	78
0,1,1,1	4,2,10,7	1,0,2,0	9,8,8,9	54	78
0,1,1,2	3,4,11,5	0,0,2,0	5,7,8,6	54	78
0,1,1,2	7,0,3,3	0,0,2,0	1,3,1,4	54	78
5,5,7,3	8,2,4,3	7,5,7,9	2,2,1,4	78	78
3,4,11,5	7,0,3,3	5,7,8,6	1,3,1,4	78	78
4,1,4,2	168,148,144,151	7,2,1,5	145,134,172,168	78	78
74,69,59,66	93,107,93,109	72,50,57,77	128,93,101,116	78	78
93,94,80,110	43,64,57,46	99,86,80,93	72,62,68,71	78	78
19,19,18,19	61,52,49,56	27,35,22,37	61,51,44,55	78	78
18,19,18,19	44,62,51,42	27,35,22,37	62,50,45,61	78	78
0,1,0,0	24,18,30,29	0,0,0,1	26,30,32,24	78	78
0,2,0,0	24,18,30,29	0,0,0,1	26,30,32,24	78	78
319,341,315,365	454,395,398,448	356,283,303,378	482,434,392,482	78	78
40,30,39,31	25,24,35,27	14,24,13,18	30,34,16,17	78	78
23,26,29,24	22,26,37,26	19,35,22,18	23,20,21,16	78	78
34,42,43,42	31,31,15,37	39,40,41,34	33,26,37,31	78	78
1,0,0,0	2,1,5,2	0,0,3,3	3,12,2,6	78	78
76,90,74,73	46,48,59,36	97,52,74,57	43,43,44,32	78	78
29,40,51,29	47,64,59,41	29,28,32,27	46,55,50,43	78	78
3,7,3,7	3,7,17,3	10,7,3,7	4,6,7,7	78	78
4,2,0,1	85,94,78,88	1,1,1,3	83,67,89,87	78	78
9,11,3,12	85,94,78,88	11,6,7,10	83,67,89,87	78	78
26,28,33,22	62,57,69,74	23,20,29,25	80,55,52,76	78	78
7,2,2,3	9,18,9,8	0,1,4,2	19,7,13,9	78	78
67,52,81,53	56,38,47,53	28,18,20,34	30,20,34,33	78	78
2,1,2,7	0,2,0,0	3,2,2,0	0,0,0,0	78	78
65,43,51,48	158,129,136,139	71,54,69,55	132,118,147,128	78	78
64,43,51,47	14,11,9,4	71,54,70,55	19,10,10,12	78	78
65,43,51,48	66,59,57,62	70,54,69,55	85,70,70,55	78	78
65,43,51,48	3,4,14,3	71,54,69,55	2,3,10,6	78	78
64,43,51,47	91,92,83,91	71,54,70,55	93,85,76,108	78	78
3,4,14,3	158,129,136,139	2,3,10,6	132,118,147,128	78	78
10,14,17,11	146,119,127,138	21,13,13,15	118,111,137,116	78	78
14,11,9,4	91,92,83,91	19,10,10,12	93,85,76,108	78	78
92,86,78,87	80,77,77,81	120,96,100,79	88,81,74,94	78	78
0,0,1,0	0,0,0,0	3,0,0,0	1,0,0,0	78	78
5,4,5,8	15,21,15,7	7,4,14,11	17,11,21,16	78	78
54,53,72,99	115,84,67,90	71,57,37,47	104,65,55,68	78	78
66,67,47,66	2,3,1,1	45,27,35,32	4,2,0,2	66	60
68,64,80,113	10,9,7,10	81,67,45,64	8,2,0,4	78	66
14,11,10,14	13,11,7,13	10,13,8,18	8,2,1,5	78	66
54,53,72,99	0,0,0,0	72,57,37,46	1,0,0,0	78	66
2,4,2,1	0,0,0,0	0,0,0,0	0,2,0,2	78	78
9,9,12,8	7,7,9,6	9,8,5,12	9,3,16,5	78	78
14,13,12,23	14,11,7,19	8,12,20,15	13,10,15,18	78	78
14,13,12,23	1,6,4,4	8,12,20,15	2,2,1,4	78	78
16,13,12,15	15,10,11,13	11,11,10,18	13,9,10,16	78	78
61,57,73,80	33,19,38,24	53,56,39,54	30,32,32,35	78	78
5,11,3,10	60,42,65,45	13,5,7,9	59,59,56,66	78	78
1,4,8,6	14,17,8,13	3,0,4,6	12,10,13,6	78	75
0,1,1,1	0,1,4,3	3,1,0,3	3,0,0,3	78	78
70,89,65,62	65,74,52,65	72,44,36,61	52,51,63,56	78	78
5,5,0,3	6,8,12,10	7,3,2,3	13,12,11,9	78	76
9,6,1,4	4,5,2,5	13,8,7,4	5,6,8,2	78	78
389,399,384,372	355,331,336,315	295,302,251,315	278,298,328,355	78	78
318,357,370,338	389,378,405,389	272,328,307,288	342,385,362,331	78	78
317,355,369,336	365,350,312,353	269,329,302,288	290,301,385,357	78	78
315,355,369,335	3,9,6,7	266,331,302,288	8,5,10,7	78	78
315,355,369,335	66,77,71,67	266,331,302,288	64,52,78,74	78	78
315,355,369,335	208,199,219,208	266,331,302,288	158,218,213,210	78	78
3,9,6,7	66,77,71,67	8,5,10,7	64,52,78,74	78	78
3,9,6,7	208,199,219,208	8,5,10,7	158,218,213,210	78	78
453,431,445,427	369,350,313,357	356,396,407,435	297,301,390,357	78	78
431,418,435,413	70,77,72,71	347,385,400,438	71,52,83,74	78	78
431,418,435,413	211,199,219,209	347,385,400,438	160,219,213,210	78	78
66,77,71,67	208,199,219,208	64,52,78,74	158,218,213,210	78	78
70,77,72,71	211,199,219,209	71,52,83,74	160,219,213,210	78	78
446,439,472,450	232,219,235,229	401,430,429,398	173,233,227,214	78	78
0,3,0,1	584,561,538,568	5,2,0,3	453,527,612,579	78	78
20,36,24,14	70,70,69,71	32,24,18,9	73,70,78,68	78	78
24,27,45,16	56,57,61,50	25,32,25,18	62,57,59,53	78	78
1,1,1,0	53,57,60,51	2,5,1,1	62,55,59,51	78	78
14,18,21,25	57,61,42,37	13,17,16,22	52,40,47,39	78	78
14,18,13,21	57,61,48,37	21,24,10,16	52,39,47,38	78	78
0,1,4,3	57,61,42,38	0,0,2,2	52,40,47,38	78	78
17,23,25,19	0,1,4,2	16,18,10,17	0,1,2,2	78	78
6,9,8,8	19,30,20,23	3,5,10,5	13,20,21,17	75	78
173,184,148,160	123,144,136,143	115,117,146,124	116,122,113,112	78	78
84,96,58,69	81,97,77,95	53,49,44,50	65,66,71,62	78	78
82,95,57,68	56,98,74,86	52,49,42,50	46,59,46,47	78	78
80,97,100,80	59,99,75,87	61,44,57,48	48,57,48,47	78	78
28,23,50,30	3,0,3,4	29,24,10,20	1,2,5,3	72	54
72,63,84,73	56,48,75,63	85,83,76,55	76,74,62,81	78	78
8,10,4,15	69,40,61,61	12,9,13,20	77,64,57,61	78	78
47,64,51,41	69,40,61,61	51,35,40,30	77,64,57,61	78	78
6,9,8,4	4,5,4,6	14,0,10,7	6,1,7,8	78	78
7,7,19,17	5,3,11,9	11,11,6,20	4,8,9,6	78	78
102,106,94,96	141,120,120,154	97,84,85,86	135,130,146,150	78	78
89,92,62,74	85,49,67,70	85,81,64,74	86,74,73,76	78	78
29,24,12,17	85,61,81,74	18,21,19,15	75,69,65,72	72	78
77,73,70,72	27,31,25,27	77,80,80,82	45,25,26,31	78	78
77,73,70,72	180,184,119,123	77,80,80,82	188,151,169,192	78	78
413,387,370,354	526,471,452,430	420,316,394,349	462,420,449,447	78	78
29,17,13,25	27,13,12,14	26,18,16,16	12,11,18,9	78	78
29,17,13,25	33,21,20,32	26,18,16,16	15,15,21,16	78	78
0,0,0,0	180,201,183,169	1,0,0,2	152,129,167,172	78	78
0,0,0,0	57,65,72,61	0,1,0,1	64,55,85,90	78	78
11,27,23,18	90,106,105,90	15,21,25,21	79,68,76,91	78	78
11,27,23,18	90,103,100,86	15,21,25,21	73,64,69,84	78	78
30,26,22,23	90,105,105,89	30,30,33,16	80,67,76,91	78	78
30,26,22,23	89,103,100,84	30,30,33,16	73,65,69,84	78	78
92,88,75,77	103,100,115,72	81,47,79,90	107,89,115,115	78	78
24,18,27,19	103,100,115,72	36,16,39,44	107,89,115,115	78	78
43,56,60,43	105,90,103,87	48,44,55,58	84,66,93,90	65	78
20,32,33,24	15,21,25,15	41,30,27,15	20,28,10,26	78	78
3,6,2,1	3,0,3,1	0,2,2,6	0,1,3,2	78	78
58,35,41,35	26,15,20,18	29,30,32,29	11,13,18,20	78	78
24,19,21,25	45,44,39,47	12,19,14,22	24,38,35,37	78	78
173,152,148,165	165,143,152,167	148,172,161,166	141,180,164,178	78	78
2,0,2,0	3,0,0,1	0,0,0,0	0,0,0,2	78	78
164,171,153,160	157,152,178,146	175,155,134,158	160,172,148,139	78	78
0,4,2,1	5,14,8,9	1,1,1,2	3,6,14,6	78	78
86,96,74,112	114,104,99,107	87,78,67,91	101,50,87,102	78	78
36,64,65,51	54,95,87,59	61,50,59,52	104,70,88,89	78	78
80,72,83,81	80,85,80,93	68,78,59,78	94,77,98,85	78	78
281,299,316,316	88,111,98,90	301,277,258,307	94,80,60,105	78	78
47,75,36,47	6,5,5,9	29,26,25,49	8,6,4,2	78	60
46,72,32,46	103,91,75,70	27,26,24,46	96,69,73,98	78	78
