IncLevel1	IncLevel2	IncLevelDifference
0.192,0.164,0.174,0.166	0.117,0.14,0.184,0.204	0.013
0.592,0.633,0.527,0.607	0.573,0.556,0.517,0.618	0.024
0.38,0.374,0.406,0.441	0.372,0.365,0.382,0.381	0.025
0.076,0.048,0.052,0.045	0.053,0.046,0.105,0.051	-0.009
0.148,0.136,0.099,0.117	0.153,0.135,0.144,0.14	-0.018
0.119,0.081,0.068,0.091	0.112,0.096,0.068,0.101	-0.005
0.106,0.079,0.061,0.079	0.089,0.099,0.061,0.084	-0.002
0.255,0.157,0.176,0.174	0.187,0.215,0.129,0.166	0.016
0.23,0.152,0.158,0.174	0.173,0.226,0.115,0.161	0.01
0.311,0.212,0.222,0.221	0.232,0.283,0.165,0.216	0.017
0.282,0.205,0.201,0.221	0.216,0.297,0.147,0.21	0.01
0.404,0.459,0.502,0.443	0.397,0.367,0.422,0.444	0.045
0.445,0.537,0.547,0.504	0.541,0.5,0.421,0.492	0.02
0.471,0.433,0.465,0.528	0.483,0.429,0.418,0.424	0.036
0.473,0.415,0.416,0.444	0.419,0.505,0.475,0.428	-0.02
0.562,0.596,0.621,0.557	0.575,0.523,0.559,0.589	0.022
0.466,0.465,0.474,0.507	0.422,0.506,0.411,0.478	0.024
NA,NA,1.0,NA	NA,0.0,NA,NA	1.0
0.514,0.505,0.41,0.472	0.513,0.449,0.457,0.422	0.015
0.435,0.448,0.45,0.375	0.42,0.477,0.377,0.407	0.007
0.474,0.578,0.432,0.55	0.552,0.42,0.547,0.486	0.007
0.009,0.0,0.008,0.009	0.0,0.0,0.0,0.013	0.003
0.447,0.5,0.534,0.506	0.587,0.509,0.269,0.5	0.03
0.367,0.353,0.383,0.387	0.353,0.361,0.386,0.323	0.017
0.411,0.38,0.39,0.387	0.358,0.452,0.386,0.356	0.004
0.063,0.055,0.123,0.089	0.115,0.177,0.19,0.199	-0.088
1.0,0.959,1.0,1.0	0.958,0.993,1.0,0.985	0.006
1.0,0.93,1.0,1.0	0.943,0.984,1.0,0.982	0.005
0.384,0.363,0.423,0.436	0.419,0.308,0.388,0.444	0.012
0.908,0.889,0.896,0.827	0.839,0.936,0.929,0.868	-0.013
0.709,0.749,0.781,0.757	0.729,0.74,0.733,0.82	-0.006
0.112,0.202,0.256,0.367	0.308,0.387,0.255,0.273	-0.072
0.804,0.602,0.649,0.793	0.655,0.806,0.611,0.669	0.027
0.676,0.667,0.609,0.668	0.519,0.618,0.64,0.658	0.046
0.519,0.505,0.49,0.522	0.425,0.487,0.494,0.457	0.043
0.106,0.084,0.132,0.071	0.051,0.121,0.097,0.084	0.01
0.368,0.387,0.386,0.382	0.418,0.353,0.332,0.329	0.023
0.717,0.432,0.624,0.519	0.391,0.48,0.597,0.342	0.121
1.0,1.0,0.912,1.0	1.0,0.874,1.0,1.0	0.009
