"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3076","Dok5",1058.38636812304,-0.0819605950379764,0.0618892597455927,-1.32431047608084,0.18539995269559,0.37932271731817,"p adj. >= 0.05",0.420991146987466,"not significant",FALSE
"3077","Dok6",1957.92558064139,0.333723156710252,0.0670597294003612,4.97650616389833,6.47422156370143e-07,2.0211231014266e-05,"p adj. < 0.05",4.69440723391561,"not significant",TRUE
"3078","Dok7",179.196710398028,0.0392908227071889,0.114985944568996,0.341701090985193,0.732575850991374,0.856796365497192,"p adj. >= 0.05",0.0671223844356102,"not significant",FALSE
"3079","Dolk",178.556979621974,0.15809767435976,0.134306732241038,1.17713886505722,0.23914008489312,0.447631639440461,"p adj. >= 0.05",0.349079224313533,"not significant",FALSE
"3080","Dolpp1",375.485542343923,-0.137719185382488,0.0892328210502054,-1.5433691747233,0.122741228405723,0.288542637940219,"p adj. >= 0.05",0.539790002078683,"not significant",FALSE
"3081","Donson",263.42699285191,-0.0493886135339446,0.107997238999923,-0.457313668305721,0.647445606745942,0.799985783461925,"p adj. >= 0.05",0.096917730781679,"not significant",FALSE
"3082","Dop1a",1525.83982177765,0.230310525241991,0.0645958892977821,3.56540528732838,0.000363294343907967,0.00367027583331562,"p adj. < 0.05",2.43530129586089,"not significant",FALSE
"3083","Dop1b",1452.0618377178,0.0435743497306722,0.0566248181038128,0.769527412004846,0.44158027792812,0.645801352289638,"p adj. >= 0.05",0.18990104991763,"not significant",FALSE
"3084","Dot1l",2421.26441574456,-0.0406995835732203,0.0694751676416884,-0.585814830748225,0.557999956274183,0.738877417223448,"p adj. >= 0.05",0.131427606854576,"not significant",FALSE
"3085","Dpagt1",474.405014015295,-0.0782572389836858,0.075729199954303,-1.03338261900176,0.30142487710134,0.515576646446773,"p adj. >= 0.05",0.287706762670456,"not significant",FALSE
"3086","Dpcd",170.198390943545,0.00136074376987384,0.126105764521776,0.0107904961762383,0.99139059677027,0.996230337288446,"p adj. >= 0.05",0.00164023723086063,"not significant",FALSE
"3087","Dpf1",2406.80535874114,-0.0742220266068671,0.0527446378100892,-1.40719568260396,0.159369371520621,0.34366342341743,"p adj. >= 0.05",0.463866687977057,"not significant",FALSE
"3088","Dpf2",893.698506960108,-0.100034004282474,0.0631706890045251,-1.5835509452067,0.113295944601908,0.27391462179951,"p adj. >= 0.05",0.562384784112044,"not significant",FALSE
"3089","Dpf3",125.268775001938,0.35306096285089,0.169022924111323,2.08883478206988,0.0367225982321332,0.125008658684786,"p adj. >= 0.05",0.903059904681639,"not significant",FALSE
"3090","Dph1",132.957091115738,0.00352695452770725,0.131075147962061,0.0269078813378728,0.978533207396081,0.990201154372766,"p adj. >= 0.05",0.00427657170537273,"not significant",FALSE
"3091","Dph2",225.89533677902,-0.0918151906477258,0.116948428333401,-0.785091274471644,0.432400055228863,0.638113400648038,"p adj. >= 0.05",0.195102134916259,"not significant",FALSE
"3092","Dph3",541.769760259371,0.0856441750110327,0.0785865913568661,1.08980646102995,0.275798407269753,0.487705634874856,"p adj. >= 0.05",0.311842226608723,"not significant",FALSE
"3093","Dph5",115.613228289408,0.0215230604119332,0.155334366284942,0.138559553347337,0.889798206673955,0.94299782814319,"p adj. >= 0.05",0.0254893075028775,"not significant",FALSE
