IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3,6,4,0	0,0,0,1	2,5,2,4	0,0,0,0	158	149
1,0,0,1	0,5,0,0	0,1,0,0	1,0,0,1	152	149
53,44,35,41	91,84,77,79	38,41,42,45	54,53,45,83	716	149
1,4,0,1	0,0,0,0	4,0,0,0	0,0,0,2	152	149
33,35,35,40	8,20,15,16	40,28,29,29	9,11,22,15	152	149
87,86,75,88	0,4,3,4	84,62,54,62	4,3,5,3	188	149
7,7,15,10	4,0,2,1	1,5,9,5	0,1,2,3	152	149
0,0,0,0	0,0,0,2	0,0,3,0	0,0,0,0	152	149
459,481,539,457	1317,1296,1528,1358	468,405,498,430	1494,1339,1402,1486	237	149
13,13,7,5	117,85,87,103	5,6,6,8	139,109,134,102	180	149
25,22,16,13	38,38,36,27	25,16,19,16	48,48,27,48	173	149
0,4,0,1	68,72,43,49	1,1,1,2	70,46,66,88	212	149
46,47,37,42	6,7,0,6	50,35,47,41	3,6,6,2	153	149
34,50,16,36	8,4,2,2	45,41,28,27	8,3,3,3	153	149
31,25,26,27	7,4,4,12	28,24,28,27	4,1,2,7	153	149
0,0,1,2	0,0,0,1	0,0,0,0	0,0,0,1	153	149
1,3,3,0	79,66,66,65	2,4,4,4	80,81,97,80	185	149
90,97,73,85	0,0,0,3	40,43,43,60	5,0,1,1	284	149
42,50,55,49	1,5,0,1	22,24,45,22	5,0,0,0	186	149
2,7,4,4	2,0,0,0	8,6,4,5	1,0,0,1	152	149
125,135,143,145	3,1,2,1	131,122,127,118	1,0,1,1	152	149
0,0,1,2	54,46,50,50	1,0,0,0	64,67,57,77	168	149
4,5,5,7	35,23,26,25	1,7,6,7	21,26,24,24	152	149
0,1,5,2	35,25,22,27	4,0,4,1	34,55,37,34	192	149
770,824,558,550	67,82,69,72	743,799,695,798	92,98,75,89	2869	149
17,21,6,13	151,147,117,152	7,7,9,3	125,122,138,113	274	149
106,97,98,103	11,12,12,3	108,97,84,118	14,6,15,20	153	149
2,1,1,0	10,11,10,12	0,0,3,1	15,5,9,5	169	149
9,7,3,5	1,2,2,3	9,3,10,11	13,7,9,5	185	149
8,5,3,4	3,2,1,0	9,3,7,9	3,2,0,0	153	149
4,4,1,1	1,2,2,3	3,2,3,2	13,7,9,5	181	149
187,218,244,271	22,17,26,19	243,203,236,217	23,34,24,19	153	149
51,71,47,35	20,26,13,18	35,27,41,45	17,9,14,9	152	149
53,47,33,27	99,102,65,86	39,34,44,40	99,102,84,110	152	149
153,135,129,99	19,18,18,37	180,149,145,146	40,29,35,40	255	149
6,4,5,4	0,1,0,0	2,19,7,8	0,0,0,2	186	149
16,16,19,25	3,3,4,1	24,10,15,7	2,0,5,4	152	149
10,15,15,12	81,87,82,99	17,15,9,10	94,90,76,80	223	149
3,1,1,3	4,7,7,2	1,5,0,3	9,5,5,3	187	149
3,1,3,4	41,46,38,51	1,5,0,2	50,47,38,48	187	149
6,5,0,1	0,0,1,0	1,1,0,0	0,0,4,0	153	149
23,24,38,31	1,5,1,2	28,21,24,22	6,0,1,0	152	149
22,27,25,26	22,13,16,31	28,24,20,18	17,13,14,11	222	149
10,11,9,12	0,0,0,0	18,17,9,9	0,0,3,0	222	149
3,5,5,5	1,1,5,0	2,3,5,1	2,2,2,8	271	149
10,14,11,3	2,1,3,0	7,17,9,6	0,0,4,0	222	149
1,6,16,7	0,0,1,0	2,5,4,8	0,0,0,0	192	149
103,90,74,67	14,30,10,10	61,64,66,91	12,18,15,12	198	149
30,20,16,13	1,0,2,2	9,18,6,13	0,1,0,0	198	149
48,85,42,59	10,5,7,2	42,43,39,42	9,3,6,11	200	149
1,2,0,1	0,0,0,0	2,4,6,3	1,0,0,0	235	149
3,8,7,10	181,170,161,145	10,4,7,4	154,140,119,156	152	149
3,3,12,6	9,19,16,27	2,5,2,3	14,11,17,19	171	149
432,423,289,337	48,53,54,40	387,368,369,362	45,43,49,54	1033	149
18,26,13,25	7,2,1,3	15,14,12,21	1,2,0,0	152	149
26,28,31,26	0,2,4,2	35,14,21,11	0,1,0,3	154	149
15,16,8,13	24,34,27,25	25,11,14,12	28,12,16,21	205	149
215,199,193,168	34,40,42,37	218,221,225,229	46,43,44,60	2216	149
48,44,49,45	1,3,0,0	29,14,18,32	0,0,0,0	157	149
49,37,47,38	9,11,6,7	43,32,42,52	5,9,11,10	153	149
5,1,3,4	276,277,312,239	2,0,2,6	323,303,306,373	209	149
5,4,5,8	64,51,65,56	4,2,4,8	74,58,87,88	213	149
276,280,314,243	64,51,65,56	325,305,308,375	74,58,87,88	153	149
5,2,2,3	0,0,0,0	3,6,4,5	1,1,0,1	152	149
58,62,66,57	5,1,6,2	56,43,48,41	9,7,5,2	152	149
4,5,5,8	15,15,12,16	5,2,0,8	18,16,13,17	152	149
4,6,5,3	16,20,10,14	9,10,6,13	19,19,25,24	459	149
12,2,6,1	5,14,11,10	6,1,3,2	10,11,6,11	233	149
45,37,51,38	1,3,3,3	45,39,38,48	7,2,2,3	212	149
299,244,315,274	1,0,4,7	304,239,329,286	1,3,2,0	155	149
334,271,345,306	0,0,0,1	335,265,359,321	0,0,0,0	172	149
36,27,34,39	0,0,0,1	32,29,32,35	0,0,0,0	166	149
38,50,24,31	53,43,42,58	28,24,18,28	56,40,29,47	218	149
140,129,180,118	23,21,24,25	173,119,119,152	17,20,21,20	179	149
347,388,295,345	1,0,1,2	358,261,256,285	3,0,5,0	2934	149
11,17,9,10	0,0,0,1	10,10,12,13	0,0,2,0	168	149
76,104,64,75	7,7,9,11	67,52,62,52	5,2,8,5	168	149
144,205,105,141	15,12,15,22	142,131,118,124	18,10,21,27	1742	149
0,7,8,5	42,28,28,41	4,8,5,5	32,48,39,38	179	149
0,1,6,1	0,1,0,0	3,1,3,7	0,0,0,0	238	149
0,1,0,2	29,22,32,15	1,1,1,1	17,35,16,28	152	149
16,28,25,26	11,9,12,13	40,37,44,30	14,11,14,10	154	149
10,10,7,6	4,8,5,0	10,12,19,18	16,4,5,11	152	149
10,15,28,15	4,8,5,0	41,28,24,26	16,4,5,11	210	149
10,15,28,15	10,10,7,6	41,27,24,26	10,11,19,18	207	149
6,6,6,4	20,19,18,10	5,6,2,7	21,14,14,22	202	149
51,32,60,55	3,1,2,4	35,33,42,49	2,2,1,4	299	149
7,16,10,10	11,9,6,16	7,12,10,14	9,5,10,5	199	149
6,12,9,4	1,0,0,0	7,7,6,10	0,0,1,0	199	149
5,1,4,3	259,328,333,324	6,4,3,3	363,361,332,349	186	149
52,52,59,50	5,6,5,5	57,50,49,42	3,2,1,4	152	149
16,8,11,13	72,63,72,75	12,15,10,12	86,80,78,86	261	149
0,2,5,4	0,0,0,3	4,7,3,1	0,0,0,0	153	149
51,62,47,41	4,8,7,15	31,35,40,51	20,9,13,12	153	149
9,4,2,2	15,16,19,8	6,2,2,1	19,10,16,20	178	149
0,0,0,0	7,6,9,12	0,0,1,0	15,8,12,16	194	149
7,14,30,14	35,29,21,27	15,5,6,9	17,21,15,17	393	149
83,111,67,69	0,0,0,1	76,82,94,93	0,2,0,0	1139	149
79,104,57,57	0,0,0,1	77,75,72,82	0,2,0,0	1153	149
4,1,0,3	8,8,10,15	9,4,2,3	8,10,24,12	163	149
12,6,12,12	1,2,5,1	21,18,16,13	2,1,0,3	496	149
19,6,17,13	239,215,260,227	16,19,15,13	244,228,233,228	154	149
11,9,4,6	0,0,0,0	11,10,7,2	0,0,0,1	209	149
11,9,4,6	1,0,0,0	11,10,7,2	2,1,0,0	212	149
31,34,17,32	0,1,1,0	48,57,32,34	0,1,1,0	555	149
0,0,0,0	1,0,0,0	0,0,0,1	2,1,0,0	152	149
20,25,13,26	0,1,1,0	37,47,25,33	0,1,1,0	495	149
21,25,13,26	0,1,1,0	39,48,25,32	0,1,1,0	492	149
10,17,23,12	1,1,0,2	20,17,29,15	0,0,0,1	233	149
7,13,15,9	2,0,2,1	7,7,7,10	3,3,0,6	271	149
16,29,38,19	2,0,2,1	27,24,36,24	3,3,0,6	355	149
45,31,28,40	7,6,6,9	29,34,35,33	5,11,5,8	158	149
3,3,5,4	54,43,56,39	6,5,5,7	51,36,58,65	202	149
125,115,130,147	0,0,3,0	89,67,99,97	0,0,0,0	1112	149
5,4,1,6	0,0,1,2	7,4,7,6	0,0,0,0	152	149
5,3,1,5	0,0,0,0	7,3,7,7	0,1,0,0	152	149
170,180,177,163	49,40,47,45	164,117,161,148	72,39,65,54	152	149
1,6,6,3	0,0,0,0	2,2,3,1	1,0,0,0	178	149
9,22,22,17	0,0,0,0	14,11,20,25	0,0,0,1	178	149
15,12,17,17	1,3,2,2	14,15,15,9	1,3,0,3	153	149
4,9,1,15	1,3,3,1	15,5,10,1	0,1,3,2	1575	149
1,0,0,0	0,4,1,0	1,1,0,0	2,0,5,1	247	149
60,45,32,46	12,16,5,11	52,32,23,41	12,8,11,13	173	149
