"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Acin1",4136.61807432504,-0.166768744482102,0.0399391551291991,9.05195946872387e-06,0.000181507631721413
"Acox3",441.921660735836,-0.274194845709897,0.0872704087465421,0.000195581097480385,0.00226214695189341
"Acsl3",1165.71421412727,0.249757895406918,0.0704263218681305,5.65501937577954e-05,0.000840188385350432
"Acss1",337.468152717968,-0.199232525667378,0.102632772225238,0.00846706869328146,0.0430151798900548
"Actb",40876.5455632364,-0.25667144325954,0.0468177427169679,6.54353737082964e-09,3.79755776754668e-07
"Actg1",39567.8517084498,-0.175278524102808,0.0541723210972982,0.000317513430881166,0.00331451817625078
"Actr10",1491.04102591309,0.125632496287327,0.052526509549452,0.00726353871638302,0.038275943619852
"Actr2",4692.47659223219,0.13995019776743,0.0407188270031303,0.000232145926720863,0.00258083581318199
"Acvr1",738.140003048564,-0.160763604949887,0.0683892446973023,0.00523508529718799,0.0298372930766346
"Acvr2a",2804.100036971,0.250317002288629,0.0610162496966243,6.16459783291181e-06,0.000133573045807204
"Adam22",2452.37462221681,0.247845753796605,0.0641626876179229,1.68628113617557e-05,0.000304733438792551
"Adamts16",41.279379420527,0.438727362189338,0.37633957356673,0.00644617919181795,0.0348612334454062
"Adamts18",442.748025372887,-0.191991594675345,0.0830737462168013,0.00409740467066891,0.0245888040705599
"Adamts6",178.812648373352,-0.361541014774617,0.148472859344068,0.000986039708678716,0.00810866861556392
"Adarb1",827.101586893792,0.17376777266613,0.0641834111529764,0.00174067010828891,0.0126623898435109
"Adarb2",489.653359130482,0.382289606775824,0.0975476281525484,7.11496329244684e-06,0.000150453493442528
"Adcy1",5807.12464453831,0.385142517945769,0.0552102365434974,2.97061118424851e-13,5.5906902487557e-11
"Adcy2",353.320325399233,0.2801206690207,0.102525382953205,0.000668359288125851,0.00596542361908534
"Adcy5",1511.78529107242,0.187672371529907,0.0531207122257531,9.95713618462027e-05,0.00131967114784897
"Adcy8",133.913033611216,0.263476299241313,0.153146206584959,0.00728438763167908,0.0383704608795442
"Adcyap1r1",2147.89611484095,-0.105561132962755,0.0451120963603932,0.0103871758845966,0.0497964538222983
"Add3",554.031839458974,0.164061737875618,0.0782351881160916,0.00920976048689998,0.0457124372072258
"Adgrb1",2959.0514024661,0.117489901844837,0.0429465016800641,0.00303174206641039,0.0193726297390982
"Adgrf5",291.450055119477,0.353512414182887,0.102965877990254,4.9782296403018e-05,0.000759944348567045
"Adgrg1",2397.67745400086,-0.282236921718579,0.0631837957851085,9.88809368318991e-07,2.83803368588985e-05
"Adgrl3",3040.67439508679,0.382758187398514,0.0573333547279497,2.25089007950395e-12,3.08510260130182e-10
"Adgrl4",190.441201170752,0.352103011834056,0.118648226443576,0.000235999298759216,0.00261484841198815
"Adh5",1447.07271778314,0.118144990928683,0.0515661244790854,0.0102412086310887,0.0493485828924949
"Adnp",3085.13922667056,-0.25706988787311,0.0696798990879897,3.09663115001074e-05,0.000507758907055138
"Adpgk",244.346101010648,-0.212194064977845,0.118650169883573,0.00999548142912107,0.0485302289748435
"Adra1a",109.617429932481,0.422695921052137,0.181380259425754,0.00105778851004665,0.00857557281929516
"Adra2a",131.61322761676,0.322400939619872,0.189660857875525,0.00526789651917395,0.0299522092117383
"Aff3",2769.35920242359,-0.160007972535206,0.0566393651862949,0.00141751737087157,0.0107944357478971
"Aff4",6369.67616469101,0.176676431020349,0.0575232749261413,0.000552648078559594,0.0051495458880155
"Aftph",1003.63140727824,0.151325839386285,0.0558392384917299,0.00221622386918439,0.015289507637588
"Agap2",6694.35735986841,0.192783303535636,0.0426511879256,1.50387869410432e-06,4.03505049208357e-05
"Agfg1",2547.62661064738,0.139730099381056,0.0497710125499666,0.0018971326858907,0.0135613891819407
"Agl",808.020766839622,0.165318265858533,0.070680760726742,0.00513633262400302,0.0294293188131367
"Ago1",4123.78326798877,-0.221685971933727,0.049634197927599,1.53695215270578e-06,4.09046619388807e-05
"Ago3",961.587029765507,0.204909830708033,0.0828520783966174,0.00241123642812372,0.0163319427784585
"Agpat1",1494.35870217332,-0.186920987218998,0.0623720139847639,0.000629476471787005,0.00569164244291147
"Agps",1139.15381000903,0.175085610904194,0.0592984872483243,0.000822028316055128,0.00698220569678288
"Agrn",9539.66268604314,-0.160715503787471,0.0513780750496008,0.000802372234335771,0.00686392975009055
