Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
CONTROL_REP4_1_val_1	56.02766149552282	11.848571296185497	6.471657652726387	4.105023192430007	2.8891098823269266	2.17143931273833	1.7408399782383108	1.2439528729015694	0.992832070702589	8.612814907782997	1.5770324269115419	1.9898115710048774	0.26080504776936375	0.06844829275882561	0.0	0.0
CONTROL_REP4_2	61.59969453445697	10.892153235438709	5.82269993162533	3.56945100411621	2.4167512072332213	1.8077198276522304	1.3868329635605987	1.0746430364831134	0.8058783856350973	6.854368982319543	1.388610386902711	1.9259204912527317	0.24014313339052762	0.2151328799330749	0.0	0.0
CONTROL_REP4_2_val_2	61.52125339318243	10.908107482630792	5.842559444699489	3.580421420979086	2.4197947210230866	1.8157311635513127	1.3928623823863946	1.0766820900090532	0.8049080419769162	6.878005658160216	1.384363430982088	1.9252152036922967	0.2403581460657669	0.20973742066092976	0.0	0.0
PREECLAMPSIA_REP1_1	55.545335622366956	11.979772115446353	6.235077131119689	4.035172286602156	2.9510084244903694	2.196677849775693	1.6636410680689082	1.2322819535956673	1.0160713746399164	8.45672272647666	1.678108983144621	2.3552609585161215	0.43394502808089047	0.15945861965540126	0.0	0.0614658580206371
PREECLAMPSIA_REP1_1_val_1	55.55751695208493	11.981770670006755	6.245573306135026	4.042457787917949	2.953735700468431	2.1999630478752983	1.666622248002414	1.2350155975188946	1.0156911212836113	8.470558789014692	1.6833726456553764	2.353322126288172	0.43468235585077386	0.15971765189759754	0.0	0.0
PREECLAMPSIA_REP1_2	61.97343050873606	10.698159266821303	5.647822590078586	3.5658686050195976	2.476182540021721	1.6731509042811497	1.2920689442313562	1.010593308562559	0.7735940472151762	6.403063823420747	1.4426100810275346	2.33411842428072	0.3341524552563945	0.30246528847173815	0.0	0.07271921257536618
PREECLAMPSIA_REP1_2_val_2	61.939363490060906	10.731017277362591	5.660579302690237	3.5742661831219857	2.48780349906648	1.6763119159668265	1.294972303794497	1.0182885316597519	0.7701534763286039	6.4336054970202685	1.4442746961450303	2.3313335195291387	0.33487810133531404	0.3031522059181545	0.0	0.0
PREECLAMPSIA_REP2_1	55.17169038700816	12.024921822750603	6.188021751329126	4.183150331952996	2.818359223157533	2.1806190600174653	1.6806855962233958	1.3534261893427255	1.0953761286320192	8.763293856557674	1.6302497993075302	2.3213213519711244	0.45944719693179803	0.1294373048176662	0.0	0.0
PREECLAMPSIA_REP2_1_val_1	55.12886576120095	12.036422271038436	6.184470137643521	4.197213701191354	2.818544907779428	2.1817578379031657	1.6798108501577689	1.3565099078813627	1.098450875837138	8.787781229451031	1.6329749321114067	2.3165598599427755	0.4596475042213504	0.12099022364039302	0.0	0.0
PREECLAMPSIA_REP2_2	61.884044721719256	10.803963885373525	5.564837293748445	3.58669340286421	2.5229442800516244	1.763423066572628	1.3093837655236542	0.9806901790932674	0.8112364241890047	6.524883374850521	1.4127419450473855	2.1932238662955674	0.33904573109374264	0.30288806357722864	0.0	0.0
PREECLAMPSIA_REP2_2_val_2	61.803337602196876	10.830321105169865	5.582011463969765	3.596853009664224	2.523153600721945	1.7715086764874062	1.3114872637755424	0.9867589217161	0.8093131629537953	6.54294962248987	1.416603295753944	2.195056397003965	0.33933411953546383	0.2913117585611295	0.0	0.0
PREECLAMPSIA_REP3_1	53.93192489041297	12.779243320575546	6.702350560477568	4.186244264423626	2.925094705703504	2.1049239568523976	1.6517479522406022	1.2628983987850513	1.0346677520399465	8.789854766599746	1.6589852205242561	2.4968288451407648	0.3736659078439081	0.10156945838020362	0.0	0.0
PREECLAMPSIA_REP3_1_val_1	53.972271331621066	12.797639195608904	6.6856241330156285	4.17643615636166	2.932077002594857	2.1059927335237063	1.632971127037389	1.2599942269566833	1.0437291209592527	8.770768101443178	1.6594936773865414	2.4956210142810313	0.36555997933427364	0.1018221998758782	0.0	0.0
PREECLAMPSIA_REP3_2	56.54081115031807	12.627130216337621	6.5272731495328005	3.9386753372472354	2.626956265457614	2.0250250816538315	1.3832586478937863	1.1241750449538461	0.9026470899522261	7.522382793008413	1.6281994002214806	2.5422466335979346	0.34261005173041287	0.26860913809463555	0.0	0.0
PREECLAMPSIA_REP3_2_val_2	56.49947282927204	12.640510637556995	6.541920344873049	3.943600528187869	2.626005511973597	2.031018959969185	1.3843071970948193	1.1232408323579601	0.9047027758936179	7.53036998985864	1.6336526725166494	2.5353697959705426	0.34407931177923384	0.2617486126956974	0.0	0.0
PREECLAMPSIA_REP4_1	52.58874940927063	12.847327440460354	6.859054683561013	4.1946149228101755	2.9732864454300665	2.1113344158620952	1.6788517558796074	1.3682992346495395	1.047215119785898	9.211454919115933	1.7962935207274724	2.7140296151301304	0.48662577653450273	0.1228627407826231	0.0	0.0
PREECLAMPSIA_REP4_1_val_1	52.62389705599141	12.851108235727416	6.867418612169532	4.189074370848325	2.9745548682435716	2.0996986367128914	1.6780534560856744	1.3644968668653148	1.0463597400153746	9.200919063251051	1.791415659649952	2.714295752166503	0.48463379888097396	0.11407388339211319	0.0	0.0
PREECLAMPSIA_REP4_2	55.0108940073621	12.490619902909144	6.650936031882498	4.096453373346722	2.7647436859336287	1.9464968653584342	1.4833257598298817	1.177532260711496	0.9537333586305276	8.028369018907002	1.837963998505784	2.8162995466586858	0.4493749174667765	0.29325727249727773	0.0	0.0
PREECLAMPSIA_REP4_2_val_2	54.98022056801649	12.512711748568716	6.655754632975793	4.101958354105649	2.7671405535549076	1.9507654543757191	1.4865528007148354	1.1777483131505846	0.9569016057202725	8.034742926018591	1.8355734272667394	2.813965772785393	0.4509446266304272	0.27501921611577335	0.0	0.0
