IncLevel1	IncLevel2	IncLevelDifference
1.0,0.667,1.0,1.0	1.0,1.0,1.0,1.0	-0.083
0.944,0.956,0.948,0.957	0.901,0.936,0.889,0.973	0.026
0.326,0.424,0.322,0.4	0.544,0.417,0.343,0.405	-0.059
1.0,1.0,0.92,1.0	1.0,1.0,1.0,1.0	-0.02
1.0,1.0,0.8,1.0	1.0,1.0,1.0,1.0	-0.05
0.167,0.342,0.317,0.267	0.153,0.208,0.214,0.143	0.094
0.273,0.245,0.333,0.444	0.263,0.241,0.241,0.556	-0.002
1.0,1.0,1.0,1.0	0.979,1.0,0.98,0.962	0.02
0.923,1.0,1.0,0.818	0.926,1.0,1.0,1.0	-0.046
0.939,1.0,1.0,1.0	0.882,1.0,1.0,1.0	0.014
0.79,0.873,0.798,0.882	0.734,0.795,0.829,0.859	0.032
0.964,1.0,0.966,0.961	0.981,0.99,0.972,1.0	-0.013
0.769,0.86,0.793,0.867	0.938,0.933,0.84,0.854	-0.069
0.647,0.923,0.533,0.733	0.667,0.636,0.308,1.0	0.056
0.118,0.181,0.176,0.115	0.169,0.164,0.147,0.106	0.001
0.971,1.0,0.966,0.909	0.963,0.96,0.932,1.0	-0.002
0.739,1.0,0.714,1.0	1.0,0.538,0.778,0.556	0.145
0.591,0.818,0.667,0.556	1.0,0.529,0.368,0.455	0.07
0.46,0.625,0.655,0.701	0.5,0.537,0.424,0.655	0.081
0.297,0.426,0.565,0.448	0.328,0.402,0.363,0.32	0.081
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.714	0.072
0.333,0.143,0.5,0.4	0.412,0.333,0.333,0.4	-0.026
0.871,0.714,0.5,0.583	1.0,1.0,0.765,0.833	-0.232
1.0,1.0,1.0,0.778	1.0,1.0,1.0,1.0	-0.055
0.44,0.533,0.44,0.493	0.447,0.539,0.519,0.432	-0.008
0.525,0.57,0.525,0.543	0.554,0.527,0.506,0.489	0.022
1.0,1.0,1.0,0.933	1.0,1.0,1.0,0.935	-0.001
0.65,0.708,0.857,0.7	0.926,0.736,0.854,0.931	-0.133
1.0,0.9,1.0,1.0	1.0,1.0,1.0,1.0	-0.025
1.0,1.0,1.0,0.95	1.0,1.0,0.875,1.0	0.019
0.569,0.62,0.529,0.672	0.721,0.63,0.509,0.639	-0.027
0.228,0.386,0.159,0.299	0.178,0.257,0.207,0.249	0.045
0.857,0.941,0.913,0.857	0.946,0.926,0.655,1.0	0.01
0.863,0.931,0.867,0.97	0.91,0.934,0.891,0.906	-0.003
1.0,1.0,0.429,1.0	0.5,1.0,0.5,1.0	0.107
0.0,1.0,1.0,0.333	0.333,1.0,NA,NA	-0.083
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.913	0.022
0.933,0.724,0.692,0.778	0.657,0.857,0.826,0.905	-0.029
1.0,1.0,0.667,1.0	0.273,1.0,1.0,0.714	0.17
0.75,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.062
0.942,0.967,0.952,0.932	0.938,0.927,0.93,0.947	0.013
0.62,0.731,0.631,0.592	0.602,0.684,0.69,0.638	-0.01
0.825,0.907,0.918,0.929	0.92,0.889,0.891,0.917	-0.01
1.0,1.0,1.0,0.0	0.333,1.0,1.0,1.0	-0.083
0.333,1.0,0.5,0.6	0.333,0.2,0.692,0.714	0.123
1.0,1.0,1.0,1.0	0.5,0.5,1.0,1.0	0.25
0.895,0.75,1.0,0.938	1.0,0.961,0.956,0.962	-0.074
0.955,1.0,1.0,0.909	0.971,0.957,0.953,0.964	0.005
0.35,0.365,0.248,0.395	0.203,0.258,0.234,0.134	0.132
0.879,0.939,0.931,0.886	0.8,1.0,0.758,0.765	0.078
NA,0.333,0.333,1.0	NA,0.333,0.333,1.0	0.0
0.0,0.2,0.2,0.091	0.0,1.0,0.333,0.091	-0.233
0.978,0.951,1.0,0.902	0.949,0.91,1.0,1.0	-0.007
0.143,0.5,0.5,0.333	0.333,0.167,0.0,0.429	0.137
1.0,1.0,NA,1.0	1.0,1.0,NA,0.0	0.333
0.613,0.712,0.731,0.713	0.65,0.713,0.649,0.59	0.042
0.522,0.55,0.493,0.432	0.471,0.564,0.413,0.454	0.024
0.427,0.425,0.434,0.397	0.413,0.34,0.396,0.408	0.032
0.022,0.035,0.03,0.031	0.033,0.029,0.034,0.029	-0.002
0.929,0.897,0.968,0.895	0.967,0.957,0.912,0.973	-0.03
0.284,0.275,0.2,0.353	0.1,0.32,0.123,0.163	0.101
0.878,1.0,1.0,0.882	0.935,0.95,0.902,1.0	-0.007
0.114,0.148,0.128,0.132	0.155,0.168,0.156,0.145	-0.025
0.5,0.913,1.0,0.833	1.0,0.52,0.769,0.917	0.01
0.092,0.207,0.093,0.06	0.117,0.091,0.086,0.11	0.012
0.778,0.829,0.905,1.0	0.833,0.949,1.0,1.0	-0.068
1.0,1.0,1.0,0.818	0.812,1.0,1.0,1.0	0.001
0.667,1.0,NA,1.0	NA,NA,0.2,1.0	0.289
0.32,0.355,0.435,0.469	0.179,0.269,0.367,0.312	0.113
1.0,1.0,1.0,1.0	1.0,1.0,0.889,0.87	0.06
0.948,1.0,0.831,0.965	0.917,0.935,1.0,0.877	0.004
1.0,0.667,1.0,1.0	1.0,0.714,1.0,1.0	-0.012
1.0,1.0,NA,0.5	0.333,0.667,1.0,1.0	0.083
NA,1.0,NA,1.0	0.0,1.0,NA,NA	0.5
0.238,0.2,0.231,0.294	0.1,0.286,0.36,0.25	-0.008
1.0,1.0,1.0,0.556	1.0,0.818,0.867,1.0	-0.032
0.398,0.476,0.42,0.375	0.427,0.416,0.388,0.369	0.017
0.748,0.88,0.655,0.803	0.878,0.657,0.826,0.736	-0.003
0.966,0.975,1.0,0.97	0.88,1.0,0.917,1.0	0.028
0.167,0.211,0.273,0.234	0.317,0.25,0.194,0.274	-0.037
0.938,0.957,0.991,0.982	0.911,0.958,0.969,1.0	0.008
0.852,0.832,0.872,0.896	0.893,0.917,0.933,0.862	-0.038
0.667,1.0,1.0,0.2	1.0,1.0,1.0,1.0	-0.283
1.0,1.0,0.953,1.0	0.967,1.0,1.0,1.0	-0.004
0.0,NA,0.0,NA	1.0,NA,NA,NA	-1.0
0.455,0.556,0.68,0.538	0.538,0.556,0.564,0.789	-0.054
0.955,0.946,0.975,1.0	0.977,0.987,1.0,1.0	-0.022
0.89,0.982,0.981,1.0	0.884,0.947,0.982,0.957	0.021
1.0,1.0,1.0,0.974	0.974,0.986,1.0,1.0	0.004
0.789,0.733,0.799,0.833	0.808,0.804,0.904,0.78	-0.036
0.618,0.736,0.686,0.745	0.661,0.67,0.735,0.677	0.011
0.81,0.421,0.577,0.333	0.833,0.419,0.733,0.6	-0.111
0.314,0.579,0.628,0.857	0.611,0.444,0.357,0.474	0.123
0.143,0.6,1.0,1.0	0.6,1.0,0.333,0.4	0.102
0.387,0.324,0.394,0.409	0.429,0.346,0.434,0.411	-0.026
1.0,0.919,0.95,1.0	0.969,0.964,1.0,1.0	-0.016
0.077,1.0,0.8,0.143	0.6,0.111,1.0,0.846	-0.134
1.0,0.833,0.538,1.0	0.667,1.0,0.5,1.0	0.051
0.913,0.964,0.821,1.0	1.0,1.0,1.0,0.905	-0.052
0.886,0.913,0.891,0.842	0.939,0.778,0.926,0.789	0.025
1.0,1.0,1.0,1.0	0.926,1.0,1.0,1.0	0.018
0.059,0.053,0.111,0.039	0.18,0.093,0.056,0.07	-0.034
0.741,0.917,0.903,0.912	0.889,0.855,0.747,0.818	0.041
0.969,0.943,0.877,0.969	0.941,0.967,1.0,0.957	-0.027
1.0,1.0,0.667,0.818	0.833,0.714,0.8,0.714	0.106
0.846,0.762,0.924,0.818	0.86,0.928,0.922,0.881	-0.06
0.152,0.268,0.323,0.273	0.355,0.261,0.289,0.224	-0.028
0.357,0.346,0.472,0.387	0.25,0.59,0.425,0.435	-0.035
0.682,0.659,0.667,0.647	0.635,0.596,0.651,0.662	0.028
1.0,0.996,0.982,0.989	1.0,1.0,1.0,1.0	-0.008
0.983,0.977,0.996,0.977	0.972,0.964,0.982,0.981	0.008
0.95,0.951,0.969,0.916	0.915,0.959,0.929,0.902	0.02
0.748,0.886,0.83,0.835	0.798,0.771,0.778,0.818	0.033
NA,NA,1.0,1.0	0.6,1.0,NA,1.0	0.133
1.0,1.0,1.0,0.875	1.0,1.0,1.0,1.0	-0.031
