IncLevel1	IncLevel2	IncLevelDifference
0.133,0.249,0.182,0.224	0.173,0.205,0.136,0.106	0.042
1.0,0.988,0.981,0.99	0.952,0.959,0.964,0.981	0.026
1.0,NA,1.0,NA	NA,1.0,NA,0.0	0.5
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.476	0.131
0.949,0.97,0.964,0.964	0.982,0.971,0.963,0.978	-0.012
0.842,0.347,0.47,0.727	0.8,1.0,0.8,0.554	-0.192
0.96,0.942,0.961,0.983	0.946,1.0,1.0,1.0	-0.025
1.0,0.937,0.956,1.0	1.0,0.958,0.933,0.94	0.015
0.367,0.076,0.055,0.162	0.537,0.104,0.0,0.162	-0.036
0.049,0.0,0.027,0.0	0.046,0.0,0.0,0.0	0.007
1.0,1.0,1.0,1.0	1.0,1.0,0.473,1.0	0.132
0.724,0.568,0.226,0.26	0.18,0.724,0.568,0.226	0.02
0.149,0.214,0.084,0.068	0.127,0.24,0.163,0.071	-0.021
0.467,0.814,0.467,0.637	1.0,0.86,1.0,0.18	-0.164
0.09,0.0,0.025,0.027	0.0,0.082,0.04,0.031	-0.003
1.0,1.0,1.0,1.0	1.0,1.0,0.269,1.0	0.183
0.013,0.017,0.007,0.002	0.003,0.0,0.008,0.002	0.007
0.899,0.728,0.796,0.726	0.771,0.776,0.919,0.776	-0.023
0.789,1.0,0.789,0.263	0.416,1.0,0.616,0.728	0.02
0.013,0.006,0.016,0.006	0.021,0.034,0.006,0.006	-0.007
0.279,0.349,0.186,0.213	0.209,0.228,0.188,0.234	0.042
0.015,0.0,0.015,0.0	0.0,0.016,0.011,0.011	-0.002
0.171,0.467,0.63,0.237	0.553,0.317,0.171,0.271	0.048
0.789,0.773,0.9,0.781	0.731,0.854,1.0,0.813	-0.039
0.42,0.725,0.405,0.553	0.65,1.0,0.237,0.237	-0.005
0.154,0.083,0.054,0.185	0.232,0.0,0.171,0.123	-0.013
0.715,0.646,0.94,0.865	0.846,0.834,0.936,0.856	-0.076
1.0,1.0,0.891,1.0	1.0,1.0,1.0,0.82	0.018
0.975,0.914,0.923,0.902	0.819,0.924,0.934,0.923	0.029
0.418,0.467,0.425,0.393	0.276,0.391,0.375,0.432	0.057
1.0,0.363,0.102,0.0	0.0,NA,NA,0.363	0.185
0.986,0.977,0.941,0.961	0.988,0.951,1.0,0.976	-0.013
0.283,0.345,0.246,0.425	0.375,0.205,0.237,0.241	0.06
0.002,0.002,0.002,0.002	0.0,0.0,0.0,0.0	0.002
0.051,0.076,0.049,0.082	0.048,0.043,0.073,0.099	-0.001
0.0,0.0,NA,NA	NA,0.0,NA,0.155	-0.077
1.0,1.0,1.0,0.754	NA,0.0,NA,1.0	0.439
1.0,0.958,0.962,1.0	1.0,1.0,1.0,1.0	-0.02
NA,NA,0.154,0.0	0.0,NA,0.0,NA	0.077
0.398,0.595,0.524,0.359	0.458,0.575,0.385,0.633	-0.044
1.0,0.976,0.919,0.797	0.955,0.909,0.829,0.874	0.031
0.982,0.936,0.944,0.913	0.965,0.972,0.839,0.89	0.027
0.824,0.789,0.688,0.657	0.695,0.778,0.675,0.685	0.031
0.638,0.218,0.347,0.09	0.053,0.11,0.054,0.0	0.269
0.93,0.878,0.819,0.828	0.935,0.901,0.741,0.731	0.037
1.0,0.954,0.814,0.875	1.0,0.725,0.908,0.908	0.025
1.0,0.863,1.0,1.0	1.0,1.0,1.0,1.0	-0.034
0.717,0.85,0.819,0.678	1.0,0.694,0.618,0.764	-0.003
0.836,1.0,1.0,0.942	0.891,1.0,0.907,1.0	-0.005
0.936,0.815,0.682,0.898	0.815,0.843,1.0,0.774	-0.025
0.595,0.823,0.803,0.642	1.0,0.688,0.424,0.729	0.005
0.794,1.0,1.0,0.942	0.893,1.0,0.897,1.0	-0.014
0.794,1.0,1.0,0.944	0.865,1.0,0.921,1.0	-0.012
1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0	-0.002
0.973,0.957,0.95,0.893	0.944,0.939,0.97,0.95	-0.008
0.079,0.012,0.108,0.056	0.016,0.018,0.0,0.0	0.055
0.051,0.081,0.064,0.148	0.028,0.0,0.017,0.014	0.071
0.168,0.153,0.141,0.208	0.144,0.146,0.141,0.195	0.011
0.598,0.87,0.332,0.271	0.0,0.427,1.0,1.0	-0.089
0.994,0.985,0.99,0.997	0.991,0.993,0.994,0.992	-0.001
1.0,1.0,0.395,1.0	1.0,1.0,1.0,NA	-0.151
1.0,0.611,1.0,1.0	1.0,1.0,0.846,1.0	-0.059
NA,1.0,0.637,0.0	NA,0.0,NA,0.467	0.312
0.059,0.0,0.0,0.252	0.0,0.045,0.184,0.119	-0.009
0.202,0.135,0.114,0.212	0.091,0.059,0.17,0.235	0.027
0.763,0.804,0.928,0.717	0.717,0.609,0.884,1.0	0.001
0.363,0.562,0.228,0.182	0.39,0.542,0.344,0.263	-0.051
0.069,0.0,0.0,0.288	0.0,0.0,0.0,0.0	0.089
NA,NA,NA,0.0	0.362,NA,0.694,NA	-0.528
1.0,0.0,0.0,0.0	NA,NA,0.0,NA	0.25
0.0,NA,0.0,NA	NA,NA,NA,1.0	-1.0
0.92,0.861,0.949,0.894	0.869,0.925,0.587,1.0	0.061
0.911,0.839,0.763,0.787	0.715,0.86,0.693,0.74	0.073
0.917,0.964,0.945,0.951	0.937,0.875,0.839,0.924	0.051
0.833,0.947,0.882,0.856	0.969,0.948,0.916,0.825	-0.035
0.414,0.648,0.429,0.453	0.847,0.749,0.763,0.438	-0.213
0.016,0.039,0.021,0.029	0.045,0.016,0.037,0.032	-0.006
0.03,0.042,0.056,0.05	0.033,0.039,0.019,0.03	0.014
NA,0.232,0.0,0.0	NA,0.0,0.0,0.0	0.077
