ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
4278	104,87,91,101	284,292,277,288	82,66,80,66	228,229,242,244	256	237	0.386741852476553	0.79011184590293
4279	84,75,85,88	283,293,276,290	69,54,69,60	229,228,243,246	247	237	0.323012972364904	0.749242432913509
4280	122,94,113,114	283,293,276,290	92,81,93,76	229,228,243,246	253	237	0.395079873840302	0.793918303039544
4281	210,137,159,218	283,293,276,290	158,138,134,139	229,228,243,246	256	237	0.722413807948875	0.943888546239471
4282	0,0,1,0	16,15,25,26	0,0,0,0	13,12,18,25	179	199	0.324094232184604	0.749873931983921
4283	2,0,1,0	8,8,13,10	0,0,1,0	6,3,8,10	106	132	0.540415113486119	0.869097891973689
4284	0,2,0,0	1,0,0,0	1,0,0,2	0,0,0,3	141	104	0.0654399049062935	0.487853662219689
4285	3,0,4,1	1,0,0,0	2,0,1,1	0,0,0,3	106	104	0.942614910870103	0.999202115572178
4286	3,0,4,1	0,2,0,0	2,0,1,1	1,0,0,2	106	141	0.00687036704914912	0.27856951260498
4287	626,513,558,558	278,241,275,261	646,511,523,607	283,246,227,254	232	137	0.207229036485717	0.667301150535337
