IncLevel1	IncLevel2	IncLevelDifference
0.37,0.242,0.267,0.264	0.284,0.319,0.203,0.255	0.021
0.358,0.251,0.259,0.281	0.279,0.354,0.195,0.264	0.014
0.477,0.355,0.37,0.367	0.385,0.443,0.289,0.363	0.022
0.465,0.367,0.361,0.388	0.379,0.481,0.28,0.374	0.017
0.437,0.485,0.543,0.466	0.429,0.404,0.456,0.483	0.04
0.451,0.536,0.533,0.52	0.552,0.532,0.436,0.513	0.002
0.469,0.445,0.462,0.485	0.443,0.484,0.423,0.438	0.018
0.46,0.414,0.419,0.45	0.425,0.503,0.47,0.423	-0.02
0.495,0.531,0.555,0.49	0.507,0.458,0.492,0.522	0.023
0.455,0.454,0.463,0.496	0.411,0.495,0.4,0.467	0.024
0.0,0.0,0.978,0.0	NA,0.0,0.0,0.0	0.244
0.477,0.47,0.373,0.434	0.475,0.411,0.42,0.385	0.016
0.476,0.49,0.491,0.411	0.458,0.519,0.417,0.447	0.007
0.422,0.531,0.385,0.506	0.508,0.374,0.499,0.438	0.006
0.005,0.0,0.004,0.005	0.0,0.0,0.0,0.007	0.002
0.442,0.509,0.53,0.508	0.597,0.482,0.379,0.501	0.008
0.432,0.416,0.438,0.465	0.415,0.448,0.448,0.399	0.01
0.417,0.386,0.394,0.389	0.364,0.459,0.392,0.362	0.002
0.087,0.076,0.166,0.121	0.155,0.233,0.249,0.26	-0.112
1.0,0.957,1.0,0.992	0.959,0.985,1.0,0.985	0.005
1.0,0.934,1.0,0.989	0.946,0.97,1.0,0.983	0.006
0.393,0.387,0.435,0.432	0.426,0.328,0.419,0.474	0.0
0.933,0.919,0.924,0.871	0.88,0.954,0.949,0.902	-0.009
0.775,0.808,0.834,0.814	0.793,0.8,0.794,0.865	-0.005
0.081,0.16,0.205,0.32	0.236,0.326,0.192,0.222	-0.052
0.741,0.517,0.567,0.732	0.57,0.747,0.523,0.588	0.032
0.617,0.604,0.544,0.601	0.452,0.551,0.574,0.595	0.049
0.479,0.464,0.449,0.479	0.385,0.442,0.451,0.417	0.044
0.109,0.081,0.117,0.062	0.044,0.106,0.085,0.074	0.015
0.391,0.412,0.411,0.41	0.442,0.376,0.355,0.352	0.025
0.606,0.315,0.501,0.394	0.28,0.358,0.473,0.239	0.117
